,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-21,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,4,,,,,,,,,,,,
1,2019-01-23,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,4,,,,,,,,,,,,
2,2019-02-26,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,9,,,,,,,,,,,,
3,2019-03-06,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,10,,,,,,,,,,,,
4,2019-04-10,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,15,,,,,,,,,,,,
5,2019-04-17,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,16,,,,,,,,,,,,
6,2019-05-08,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,19,,,,,,,,,,,,
7,2019-06-12,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,24,,,,,,,,,,,,
8,2019-08-14,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,33,,,,,,,,,,,,
9,2019-09-11,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,37,,,,,,,,,,,,
10,2019-09-25,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,39,,,,,,,,,,,,
11,2019-12-06,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,49,,,,,,,,,,,,
12,2019-12-11,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,50,,,,,,,,,,,,
0,2020-02-19,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,8,,,,,,,,,,,,
1,2020-03-11,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,11,,,,,,,,,,,,
2,2020-03-25,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,13,,,,,,,,,,,,
3,2020-04-29,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,18,,,,,,,,,,,,
4,2020-06-03,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,23,,,,,,,,,,,,
5,2020-07-15,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,29,,,,,,,,,,,,
6,2020-09-09,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,37,,,,,,,,,,,,
7,2020-09-16,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,38,,,,,,,,,,,,
8,2020-09-23,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,39,,,,,,,,,,,,
9,2020-12-09,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,50,,,,,,,,,,,,
10,2020-12-23,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,52,,,,,,,,,,,,
0,2021-01-27,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-03-17,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,11,,,,,,,,,,,,
2,2021-04-28,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-06-02,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,22,,,,,,,,,,,,
4,2021-09-01,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,50.0,50.0,0.0,35,,,,,,,,,,,,
5,2021-10-06,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,40,,,,,,,,,,,,
6,2021-11-24,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,47,,,,,,,,,,,,
7,2021-12-22,B08142448,紗布墊 10cmx10cmx8ply,2片/包,包,T,100.0,0.0,0.0,100.0,100.0,0.0,51,,,,,,,,,,,,
