,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-03,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,400.0,400.0,0.0,1,,,,,,,,,,,,
1,2019-01-09,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,400.0,400.0,0.0,2,,,,,,,,,,,,
2,2019-01-16,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,300.0,300.0,0.0,3,,,,,,,,,,,,
3,2019-01-30,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,500.0,500.0,0.0,5,,,,,,,,,,,,
4,2019-02-13,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,1000.0,1000.0,0.0,7,,,,,,,,,,,,
5,2019-03-01,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,500.0,500.0,0.0,9,,,,,,,,,,,,
6,2019-03-06,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,700.0,700.0,0.0,10,,,,,,,,,,,,
7,2019-04-01,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,2000.0,2000.0,0.0,14,,,,,,,,,,,,
8,2019-04-10,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,500.0,500.0,0.0,15,,,,,,,,,,,,
9,2019-05-08,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,700.0,700.0,0.0,19,,,,,,,,,,,,
10,2019-05-15,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,500.0,500.0,0.0,20,,,,,,,,,,,,
11,2019-05-29,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,500.0,500.0,0.0,22,,,,,,,,,,,,
12,2019-06-19,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,500.0,500.0,0.0,25,,,,,,,,,,,,
13,2019-07-17,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,500.0,500.0,0.0,29,,,,,,,,,,,,
14,2019-07-31,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,300.0,300.0,0.0,31,,,,,,,,,,,,
15,2019-08-14,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,500.0,500.0,0.0,33,,,,,,,,,,,,
16,2019-08-28,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,1000.0,1000.0,0.0,35,,,,,,,,,,,,
17,2019-09-04,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,300.0,300.0,0.0,36,,,,,,,,,,,,
18,2019-09-11,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,500.0,500.0,0.0,37,,,,,,,,,,,,
19,2019-10-04,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,1500.0,0.0,0.0,1000.0,1000.0,0.0,40,,,,,,,,,,,,
