,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-03-06,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,10,,,,,,,,,,,,
1,2019-03-20,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,12,,,,,,,,,,,,
2,2019-03-27,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,13,,,,,,,,,,,,
3,2019-06-12,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,24,,,,,,,,,,,,
4,2019-06-26,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,26,,,,,,,,,,,,
5,2019-07-03,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,27,,,,,,,,,,,,
6,2019-10-23,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,43,,,,,,,,,,,,
0,2020-01-16,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,3,,,,,,,,,,,,
1,2020-02-19,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,8,,,,,,,,,,,,
2,2020-04-22,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,17,,,,,,,,,,,,
3,2020-07-22,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,3.0,3.0,0.0,30,,,,,,,,,,,,
4,2020-11-25,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,2.0,2.0,0.0,48,,,,,,,,,,,,
0,2021-05-12,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,19,,,,,,,,,,,,
1,2021-06-02,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,22,,,,,,,,,,,,
2,2021-06-30,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,26,,,,,,,,,,,,
3,2021-07-24,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,2.0,2.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-11-18,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,46,,,,,,,,,,,,
5,2021-12-30,C13802021,塑膠接管 直接管,,支,T,2.0,0.0,0.0,1.0,1.0,0.0,52,,,,,,,,,,,,
