,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-03,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,100.0,100.0,0.0,1,,,,,,,,,,,,
1,2019-02-13,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,7,,,,,,,,,,,,
2,2019-02-26,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,100.0,100.0,0.0,9,,,,,,,,,,,,
3,2019-04-10,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,15,,,,,,,,,,,,
4,2019-05-01,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,18,,,,,,,,,,,,
5,2019-05-29,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,22,,,,,,,,,,,,
6,2019-07-10,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,28,,,,,,,,,,,,
7,2019-08-28,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,35,,,,,,,,,,,,
8,2019-10-02,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,40,,,,,,,,,,,,
9,2019-10-23,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,43,,,,,,,,,,,,
0,2020-01-02,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,1,,,,,,,,,,,,
1,2020-02-12,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,100.0,100.0,0.0,7,,,,,,,,,,,,
2,2020-03-31,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,14,,,,,,,,,,,,
3,2020-04-08,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,15,,,,,,,,,,,,
4,2020-04-22,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,17,,,,,,,,,,,,
5,2020-06-17,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,25,,,,,,,,,,,,
6,2020-07-08,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,28,,,,,,,,,,,,
7,2020-08-12,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,33,,,,,,,,,,,,
8,2020-09-16,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,38,,,,,,,,,,,,
9,2020-10-21,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,43,0.0,,,,,,,,,,,
10,2020-11-05,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,45,,,,,,,,,,,,
11,2020-11-25,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,48,,,,,,,,,,,,
0,2021-01-06,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
