,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-30,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,個,T,2.0,0.0,0.0,3.0,3.0,0.0,5,,,,,,,,,,,,
1,2019-02-21,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,個,T,2.0,0.0,0.0,1.0,1.0,0.0,8,,,,,,,,,,,,
2,2019-04-08,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,個,T,2.0,0.0,0.0,4.0,4.0,0.0,15,,,,,,,,,,,,
3,2019-08-07,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,個,T,2.0,0.0,0.0,1.0,1.0,0.0,32,,,,,,,,,,,,
0,2020-08-19,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,個,T,2.0,0.0,0.0,2.0,2.0,0.0,34,,,,,,,,,,,,
0,2021-01-27,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,個,T,2.0,0.0,0.0,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-02-10,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,個,T,2.0,0.0,0.0,2.0,2.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-02-26,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,個,T,2.0,0.0,0.0,3.0,3.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-06-16,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,個,T,2.0,0.0,0.0,1.0,1.0,0.0,24,,,,,,,,,,,,
4,2021-07-21,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,個,T,2.0,0.0,0.0,2.0,2.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-10-20,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,個,T,2.0,0.0,0.0,2.0,2.0,0.0,42,,,,,,,,,,,,
6,2021-11-24,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,個,T,2.0,0.0,0.0,1.0,1.0,0.0,47,,,,,,,,,,,,
