,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-03,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,20.0,0.0,0.0,20.0,20.0,0.0,1,,,,,,,,,,,,
1,2019-01-23,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,20.0,0.0,0.0,20.0,20.0,0.0,4,,,,,,,,,,,,
2,2019-02-26,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,20.0,0.0,0.0,20.0,20.0,0.0,9,,,,,,,,,,,,
3,2019-04-01,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,20.0,0.0,0.0,20.0,20.0,0.0,14,,,,,,,,,,,,
4,2019-04-25,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,20.0,0.0,0.0,20.0,20.0,0.0,17,,,,,,,,,,,,
5,2019-05-15,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,20.0,0.0,0.0,20.0,20.0,0.0,20,,,,,,,,,,,,
6,2019-06-05,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,20.0,0.0,0.0,20.0,20.0,0.0,23,,,,,,,,,,,,
7,2019-07-03,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,20.0,20.0,0.0,27,,,,,,,,,,,,
8,2019-07-17,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,30.0,30.0,0.0,29,,,,,,,,,,,,
9,2019-08-21,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,20.0,20.0,0.0,34,,,,,,,,,,,,
10,2019-10-02,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,40.0,40.0,0.0,40,,,,,,,,,,,,
11,2019-10-30,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,20.0,20.0,0.0,44,,,,,,,,,,,,
12,2019-12-04,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,40.0,40.0,0.0,49,,,,,,,,,,,,
0,2020-01-02,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,40.0,40.0,0.0,1,,,,,,,,,,,,
1,2020-01-08,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,40.0,40.0,0.0,2,,,,,,,,,,,,
2,2020-04-15,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,30.0,30.0,0.0,16,,,,,,,,,,,,
3,2020-04-25,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,-30.0,-30.0,0.0,17,,,,,,,,,,,,
4,2020-05-20,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,20.0,20.0,0.0,21,,,,,,,,,,,,
5,2020-06-17,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,30.0,30.0,0.0,25,,,,,,,,,,,,
6,2020-07-08,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,40.0,40.0,0.0,28,,,,,,,,,,,,
7,2020-07-15,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,40.0,40.0,0.0,29,,,,,,,,,,,,
8,2020-07-28,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,20.0,20.0,0.0,31,,,,,,,,,,,,
9,2020-08-05,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,30.0,30.0,0.0,32,,,,,,,,,,,,
10,2020-10-21,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,30.0,30.0,0.0,43,0.0,,,,,,,,,,,
11,2020-12-09,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,40.0,40.0,0.0,50,,,,,,,,,,,,
0,2021-01-13,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,40.0,40.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-01-27,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,40.0,40.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-06-23,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,100.0,100.0,0.0,25,,,,,,,,,,,,
3,2021-10-15,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,100.0,100.0,0.0,41,,,,,,,,,,,,
4,2021-11-18,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,40.0,0.0,0.0,100.0,100.0,0.0,46,,,,,,,,,,,,
