,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-07-10,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,7.0,7.0,0.0,28,,,,,,,,,,,,
1,2019-08-14,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,7.0,7.0,0.0,33,,,,,,,,,,,,
2,2019-09-25,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,5.0,5.0,0.0,39,,,,,,,,,,,,
3,2019-12-11,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,4.0,4.0,0.0,50,,,,,,,,,,,,
0,2020-01-02,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,5.0,5.0,0.0,1,,,,,,,,,,,,
1,2020-01-08,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,3.0,3.0,0.0,2,,,,,,,,,,,,
2,2020-01-22,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,3.0,3.0,0.0,4,,,,,,,,,,,,
3,2020-02-05,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,4.0,4.0,0.0,6,,,,,,,,,,,,
4,2020-02-26,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,1.0,1.0,0.0,9,,,,,,,,,,,,
5,2020-03-11,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,4.0,4.0,0.0,11,,,,,,,,,,,,
6,2020-03-25,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,2.0,2.0,0.0,13,,,,,,,,,,,,
7,2020-04-08,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,2.0,2.0,0.0,15,,,,,,,,,,,,
8,2020-06-10,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,5.0,5.0,0.0,24,,,,,,,,,,,,
9,2020-06-17,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,5.0,5.0,0.0,25,,,,,,,,,,,,
10,2020-07-28,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,2.0,2.0,0.0,31,,,,,,,,,,,,
11,2020-09-02,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,2.0,2.0,0.0,36,,,,,,,,,,,,
12,2020-10-21,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,3.0,3.0,0.0,43,0.0,,,,,,,,,,,
13,2020-11-18,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,3.0,3.0,0.0,47,,,,,,,,,,,,
14,2020-12-02,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,8.0,8.0,0.0,49,,,,,,,,,,,,
15,2020-12-09,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,5.0,5.0,0.0,50,,,,,,,,,,,,
16,2020-12-23,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,5.0,5.0,0.0,52,,,,,,,,,,,,
0,2021-01-27,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,5.0,5.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-03-31,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,8.0,8.0,0.0,13,,,,,,,,,,,,
2,2021-04-14,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,6.0,6.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-05-12,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,5.0,5.0,0.0,19,,,,,,,,,,,,
4,2021-06-02,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,3.0,3.0,0.0,22,,,,,,,,,,,,
5,2021-06-30,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,3.0,3.0,0.0,26,,,,,,,,,,,,
6,2021-07-07,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,5.0,5.0,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-07-21,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,20.0,0.0,0.0,10.0,10.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
