,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-23,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,10.0,0.0,0.0,1.0,1.0,0.0,4,,,,,,,,,,,,
1,2019-02-01,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,10.0,0.0,0.0,4.0,4.0,0.0,5,,,,,,,,,,,,
2,2019-12-11,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,10.0,0.0,0.0,20.0,20.0,0.0,50,,,,,,,,,,,,
0,2020-04-08,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,10.0,0.0,0.0,20.0,20.0,0.0,15,,,,,,,,,,,,
1,2020-10-07,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,10.0,0.0,0.0,10.0,10.0,0.0,41,0.0,,,,,,,,,,,
0,2021-01-06,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,10.0,0.0,0.0,10.0,10.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-14,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,10.0,0.0,0.0,10.0,10.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-06-30,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,10.0,0.0,0.0,10.0,10.0,0.0,26,,,,,,,,,,,,
3,2021-11-18,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,10.0,0.0,0.0,5.0,5.0,0.0,46,,,,,,,,,,,,
4,2021-12-22,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,10.0,0.0,0.0,10.0,10.0,0.0,51,,,,,,,,,,,,
