,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-03,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,1,,,,,,,,,,,,
1,2019-01-30,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,5,,,,,,,,,,,,
2,2019-03-13,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,11,,,,,,,,,,,,
3,2019-05-01,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,18,,,,,,,,,,,,
4,2019-05-08,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,19,,,,,,,,,,,,
5,2019-05-15,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,20,,,,,,,,,,,,
6,2019-05-22,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,50.0,50.0,0.0,21,,,,,,,,,,,,
7,2019-05-25,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,50.0,50.0,0.0,21,,,,,,,,,,,,
8,2019-06-12,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,24,,,,,,,,,,,,
9,2019-09-11,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,37,,,,,,,,,,,,
10,2019-10-08,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,41,,,,,,,,,,,,
11,2019-11-20,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,47,,,,,,,,,,,,
12,2019-11-27,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,48,,,,,,,,,,,,
0,2020-01-08,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,2,,,,,,,,,,,,
1,2020-01-22,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,400.0,400.0,0.0,4,,,,,,,,,,,,
2,2020-02-05,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,6,,,,,,,,,,,,
3,2020-02-19,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,8,,,,,,,,,,,,
4,2020-03-03,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,10,,,,,,,,,,,,
5,2020-03-18,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,12,,,,,,,,,,,,
6,2020-03-25,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,13,,,,,,,,,,,,
7,2020-04-29,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,18,,,,,,,,,,,,
8,2020-05-13,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,20,,,,,,,,,,,,
9,2020-06-03,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,23,,,,,,,,,,,,
10,2020-06-17,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,25,,,,,,,,,,,,
11,2020-07-28,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,31,,,,,,,,,,,,
12,2020-07-29,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,200.0,200.0,0.0,31,,,,,,,,,,,,
13,2020-08-05,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,32,,,,,,,,,,,,
14,2020-09-23,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,39,,,,,,,,,,,,
15,2020-09-29,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,40,,,,,,,,,,,,
16,2020-12-02,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,49,,,,,,,,,,,,
17,2020-12-23,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,52,,,,,,,,,,,,
0,2021-01-27,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-03-03,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,9,,,,,,,,,,,,
2,2021-03-31,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,13,,,,,,,,,,,,
3,2021-04-14,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-05-12,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,19,,,,,,,,,,,,
5,2021-06-16,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,24,,,,,,,,,,,,
6,2021-06-23,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,25,,,,,,,,,,,,
7,2021-08-25,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,34,,,,,,,,,,,,
8,2021-09-29,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,39,,,,,,,,,,,,
9,2021-10-13,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,41,,,,,,,,,,,,
10,2021-11-18,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,46,,,,,,,,,,,,
11,2021-12-22,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,51,,,,,,,,,,,,
12,2021-12-30,V04702002,體溫速測儀專用膠套,500pc/box,個,T,100.0,0.0,0.0,100.0,100.0,0.0,52,,,,,,,,,,,,
