,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-08-16,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,,0.0,0.0,0.0,100.0,100.0,0.0,33,,,,,,,,,,,,
0,2020-02-21,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,,0.0,0.0,0.0,200.0,200.0,0.0,8,,,,,,,,,,,,
1,2020-02-22,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,,0.0,0.0,0.0,0.0,-400.0,-400.0,8,,,,,,,,,,,,
2,2020-04-17,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,,0.0,-400.0,0.0,100.0,100.0,-400.0,16,,,,,,,,,,,,
3,2020-04-25,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,,0.0,-400.0,0.0,0.0,-100.0,-500.0,17,,,,,,,,,,,,
4,2020-10-23,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,,0.0,-500.0,0.0,0.0,0.0,0.0,43,-500.0,,,,,,,,,,,
0,2021-01-06,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,,0.0,0.0,0.0,50.0,50.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-01-23,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,,0.0,0.0,0.0,0.0,-50.0,-50.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-05-24,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,,0.0,-50.0,0.0,100.0,100.0,-50.0,21,,,,,,,,,,,,
3,2021-08-06,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,,0.0,-50.0,0.0,50.0,50.0,-50.0,31,,,,,,,,,,,,
