,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-07,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,200.0,200.0,0.0,2
1,2019-01-14,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,200.0,200.0,0.0,3
2,2019-01-18,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,300.0,300.0,0.0,3
3,2019-01-28,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,200.0,200.0,0.0,5
4,2019-01-31,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,200.0,200.0,0.0,5
5,2019-02-18,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,8
6,2019-02-25,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,9
7,2019-03-04,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,200.0,200.0,0.0,10
8,2019-03-25,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,13
9,2019-04-01,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,200.0,200.0,0.0,14
10,2019-04-08,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,15
11,2019-04-29,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,18
12,2019-05-06,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,19
13,2019-05-13,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,200.0,200.0,0.0,20
14,2019-05-27,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,22
15,2019-06-03,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,23
16,2019-06-10,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,24
17,2019-06-17,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,25
18,2019-07-08,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,28
19,2019-07-22,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,30
20,2019-07-29,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,31
21,2019-08-05,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,200.0,200.0,0.0,32
22,2019-08-12,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,33
23,2019-08-19,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,100.0,100.0,0.0,34
24,2019-08-26,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,50.0,50.0,0.0,35
25,2019-09-02,B08142337,紗布墊 3〞x3〞x8ply,2片/包,包,T,200.0,0.0,0.0,200.0,200.0,0.0,36
