,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-21,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,5.0,5.0,0.0,4
1,2019-02-19,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,-10.0,-10.0,0.0,8
2,2019-03-04,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,5.0,5.0,0.0,10
3,2019-05-27,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,3.0,3.0,0.0,22
4,2019-07-15,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,3.0,3.0,0.0,29
5,2019-08-05,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,2.0,2.0,0.0,32
6,2019-08-26,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,3.0,3.0,0.0,35
7,2019-12-09,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,5.0,5.0,0.0,50
0,2020-05-25,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,5.0,5.0,0.0,22
1,2020-06-01,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,5.0,5.0,0.0,23
2,2020-10-26,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,5.0,5.0,0.0,44
0,2021-01-04,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,4.0,4.0,0.0,1
1,2021-01-25,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,5.0,5.0,0.0,4
2,2021-04-12,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,3.0,3.0,0.0,15
3,2021-04-24,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,-3.0,-3.0,0.0,16
4,2021-05-03,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,4.0,4.0,0.0,18
5,2021-06-28,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,3.0,3.0,0.0,26
6,2021-06-28,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,3.0,3.0,0.0,26
7,2021-08-05,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,2.0,2.0,0.0,31
8,2021-08-16,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,2.0,2.0,0.0,33
9,2021-09-13,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,4.0,4.0,0.0,37
10,2021-10-07,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,3.0,3.0,0.0,40
11,2021-10-18,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,3.0,3.0,0.0,42
12,2021-11-15,D00669305,3-0   尼龍線,24mm x 75cm,包,T,5.0,0.0,0.0,2.0,2.0,0.0,46
