,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-21,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,4
1,2019-01-28,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,8.0,8.0,0.0,5
2,2019-03-04,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,10
3,2019-08-19,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,4.0,4.0,0.0,34
4,2019-10-07,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,3.0,3.0,0.0,41
5,2019-10-11,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,10.0,10.0,0.0,41
6,2019-10-28,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,44
7,2019-11-11,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,8.0,8.0,0.0,46
8,2019-12-02,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,3.0,3.0,0.0,49
9,2019-12-09,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,50
10,2019-12-16,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,8.0,8.0,0.0,51
11,2019-12-23,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,4.0,4.0,0.0,52
12,2019-12-27,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,4.0,4.0,0.0,52
0,2020-03-02,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,3.0,3.0,0.0,10
1,2020-03-30,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,14
2,2020-04-13,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,16
3,2020-05-04,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,19
4,2020-05-11,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,3.0,3.0,0.0,20
5,2020-05-25,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,3.0,3.0,0.0,22
6,2020-06-01,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,3.0,3.0,0.0,23
7,2020-06-22,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,26
8,2020-06-29,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,27
9,2020-07-13,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,2.0,2.0,0.0,29
10,2020-07-20,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,2.0,2.0,0.0,30
11,2020-10-05,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,41
12,2020-10-12,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,42
13,2020-10-26,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,44
14,2020-11-23,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,6.0,6.0,0.0,48
15,2020-12-11,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,10.0,10.0,0.0,50
0,2021-01-11,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,2
1,2021-01-25,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,8.0,8.0,0.0,4
2,2021-03-22,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,7.0,7.0,0.0,12
3,2021-04-12,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,7.0,7.0,0.0,15
4,2021-05-03,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,18
5,2021-05-10,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,19
6,2021-05-17,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,20
7,2021-05-31,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,3.0,3.0,0.0,22
8,2021-06-21,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,4.0,4.0,0.0,25
9,2021-06-21,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,4.0,4.0,0.0,25
10,2021-08-16,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,33
11,2021-09-06,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,36
12,2021-09-20,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,38
13,2021-10-18,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,6.0,6.0,0.0,42
14,2021-11-01,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,4.0,4.0,0.0,44
15,2021-11-15,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,2.0,2.0,0.0,46
16,2021-12-13,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,4.0,4.0,0.0,50
17,2021-12-27,G81200207,嗜氧攜送培養基,,支,T,8.0,0.0,0.0,5.0,5.0,0.0,52
