,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-14,J00202506,尿液收集袋,(24小時使用) 3500CC,個,T,1.0,0.0,0.0,1.0,1.0,0.0,3
1,2019-03-18,J00202506,尿液收集袋,(24小時使用) 3500CC,個,T,1.0,0.0,0.0,1.0,1.0,0.0,12
2,2019-05-13,J00202506,尿液收集袋,(24小時使用) 3500CC,個,T,1.0,0.0,0.0,1.0,1.0,0.0,20
3,2019-05-25,J00202506,尿液收集袋,(24小時使用) 3500CC,個,T,1.0,0.0,0.0,-1.0,-1.0,0.0,21
4,2019-10-14,J00202506,尿液收集袋,(24小時使用) 3500CC,個,T,1.0,0.0,0.0,1.0,1.0,0.0,42
0,2020-06-01,J00202506,尿液收集袋,(24小時使用) 3500CC,個,T,1.0,0.0,0.0,1.0,1.0,0.0,23
1,2020-11-09,J00202506,尿液收集袋,(24小時使用) 3500CC,個,T,1.0,0.0,0.0,1.0,1.0,0.0,46
0,2021-01-25,J00202506,尿液收集袋,(24小時使用) 3500CC,個,T,1.0,0.0,0.0,1.0,1.0,0.0,4
1,2021-02-01,J00202506,尿液收集袋,(24小時使用) 3500CC,個,T,1.0,0.0,0.0,1.0,1.0,0.0,5
2,2021-03-22,J00202506,尿液收集袋,(24小時使用) 3500CC,個,T,1.0,0.0,0.0,1.0,1.0,0.0,12
3,2021-08-16,J00202506,尿液收集袋,(24小時使用) 3500CC,個,T,1.0,0.0,0.0,1.0,1.0,0.0,33
4,2021-10-04,J00202506,尿液收集袋,(24小時使用) 3500CC,個,T,1.0,0.0,0.0,1.0,1.0,0.0,40
5,2021-10-07,J00202506,尿液收集袋,(24小時使用) 3500CC,個,T,1.0,0.0,0.0,1.0,1.0,0.0,40
6,2021-11-08,J00202506,尿液收集袋,(24小時使用) 3500CC,個,T,1.0,0.0,0.0,1.0,1.0,0.0,45
