,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2020-10-12,J00610007,"塑膠尿套,男用","45cm,100個/包       ",包,T,2.0,0.0,0.0,1.0,1.0,0.0,42
1,2020-10-19,J00610007,"塑膠尿套,男用","45cm,100個/包       ",包,T,2.0,0.0,0.0,2.0,2.0,0.0,43
2,2020-11-02,J00610007,"塑膠尿套,男用","45cm,100個/包       ",包,T,2.0,0.0,0.0,1.0,1.0,0.0,45
3,2020-11-30,J00610007,"塑膠尿套,男用","45cm,100個/包       ",包,T,2.0,0.0,0.0,2.0,2.0,0.0,49
0,2021-03-22,J00610007,"塑膠尿套,男用","45cm,100個/包       ",包,T,2.0,0.0,0.0,2.0,2.0,0.0,12
1,2021-04-12,J00610007,"塑膠尿套,男用","45cm,100個/包       ",包,T,2.0,0.0,0.0,1.0,1.0,0.0,15
2,2021-05-17,J00610007,"塑膠尿套,男用","45cm,100個/包       ",包,T,2.0,0.0,0.0,2.0,2.0,0.0,20
3,2021-05-24,J00610007,"塑膠尿套,男用","45cm,100個/包       ",包,T,2.0,0.0,0.0,1.0,1.0,0.0,21
4,2021-06-07,J00610007,"塑膠尿套,男用","45cm,100個/包       ",包,T,2.0,0.0,0.0,1.0,1.0,0.0,23
5,2021-06-07,J00610007,"塑膠尿套,男用","45cm,100個/包       ",包,T,2.0,0.0,0.0,1.0,1.0,0.0,23
6,2021-09-13,J00610007,"塑膠尿套,男用","45cm,100個/包       ",包,T,2.0,0.0,0.0,2.0,2.0,0.0,37
7,2021-10-04,J00610007,"塑膠尿套,男用","45cm,100個/包       ",包,T,2.0,0.0,0.0,1.0,1.0,0.0,40
8,2021-10-26,J00610007,"塑膠尿套,男用","45cm,100個/包       ",包,T,2.0,0.0,0.0,1.0,1.0,0.0,43
9,2021-11-15,J00610007,"塑膠尿套,男用","45cm,100個/包       ",包,T,2.0,0.0,0.0,1.0,1.0,0.0,46
