,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-14,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,20.0,20.0,0.0,3
1,2019-03-18,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,25.0,25.0,0.0,12
2,2019-07-08,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,20.0,20.0,0.0,28
3,2019-10-14,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,20.0,20.0,0.0,42
4,2019-12-02,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,20.0,20.0,0.0,49
0,2020-03-09,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,20.0,20.0,0.0,11
1,2020-06-15,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,20.0,20.0,0.0,25
2,2020-10-05,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,10.0,10.0,0.0,41
3,2020-11-30,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,10.0,10.0,0.0,49
0,2021-02-01,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,20.0,20.0,0.0,5
1,2021-05-17,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,10.0,10.0,0.0,20
2,2021-06-21,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,10.0,10.0,0.0,25
3,2021-06-21,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,10.0,10.0,0.0,25
4,2021-08-16,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,10.0,10.0,0.0,33
5,2021-11-15,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,10.0,10.0,0.0,46
6,2021-12-13,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,25.0,0.0,0.0,20.0,20.0,0.0,50
