,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-28,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,10.0,10.0,0.0,5
1,2019-03-18,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,1.0,1.0,0.0,12
2,2019-04-10,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,15
3,2019-06-10,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,3.0,3.0,0.0,24
4,2019-07-08,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,28
5,2019-08-12,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,10.0,10.0,0.0,33
6,2019-10-11,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,10.0,10.0,0.0,41
0,2020-02-10,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,7
1,2020-05-04,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,19
2,2020-10-26,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,44
3,2020-12-11,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,4.0,4.0,0.0,50
0,2021-01-25,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,6.0,6.0,0.0,4
1,2021-02-01,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,3.0,3.0,0.0,5
2,2021-02-22,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,10.0,10.0,0.0,8
3,2021-03-29,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,13
4,2021-04-12,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,15
5,2021-06-17,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,13.0,13.0,0.0,24
6,2021-06-17,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,13.0,13.0,0.0,24
7,2021-08-23,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,34
8,2021-09-20,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,38
9,2021-11-01,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,4.0,4.0,0.0,44
10,2021-11-08,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,6.0,6.0,0.0,45
11,2021-12-27,K82600612,張氏糞便收集器,800個/箱,個,T,10.0,0.0,0.0,5.0,5.0,0.0,52
