,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-14,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,3
1,2019-01-21,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,4
2,2019-02-18,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,8
3,2019-03-11,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,11
4,2019-03-18,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,12
5,2019-04-01,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,14
6,2019-04-15,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,16
7,2019-05-13,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,2.0,2.0,0.0,20
8,2019-06-03,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,23
9,2019-06-10,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,24
10,2019-06-24,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,26
11,2019-07-08,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,2.0,2.0,0.0,28
12,2019-07-15,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,29
13,2019-07-29,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,1.0,1.0,0.0,31
14,2019-08-12,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,2.0,2.0,0.0,33
15,2019-08-26,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,2.0,2.0,0.0,35
16,2019-09-09,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,37
17,2019-09-30,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,40
18,2019-10-07,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,41
19,2019-10-21,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,43
20,2019-11-18,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,47
21,2019-11-25,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,2.0,2.0,0.0,48
22,2019-12-02,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,49
23,2019-12-16,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,2.0,2.0,0.0,51
24,2019-12-30,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,1
0,2020-01-06,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,2
1,2020-01-13,V03111008,紙口罩,100個/盒,盒,T,3.0,0.0,0.0,3.0,3.0,0.0,3
