,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-14,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,3
1,2019-01-21,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,4
2,2019-01-28,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,5
3,2019-02-11,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,7
4,2019-02-25,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,9
5,2019-03-04,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,10
6,2019-03-25,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,13
7,2019-04-01,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,14
8,2019-04-08,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,15
9,2019-04-12,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,100.0,100.0,0.0,15
10,2019-04-15,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,16
11,2019-04-22,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,17
12,2019-05-06,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,19
13,2019-05-13,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,20
14,2019-05-27,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,22
15,2019-06-03,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,23
16,2019-06-17,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,25
17,2019-06-20,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,100.0,100.0,0.0,25
18,2019-06-24,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,26
19,2019-07-01,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,27
20,2019-07-15,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,29
21,2019-07-22,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,30
22,2019-08-05,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,32
23,2019-08-12,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,33
24,2019-08-19,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,34
25,2019-08-26,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,100.0,100.0,0.0,35
26,2019-09-02,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,36
27,2019-09-09,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,37
28,2019-09-16,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,38
29,2019-09-23,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,39
30,2019-09-30,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,40
31,2019-10-07,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,41
32,2019-10-28,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,44
33,2019-11-04,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,45
34,2019-11-18,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,47
35,2019-11-25,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,48
36,2019-12-09,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,50
37,2019-12-30,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,1
