,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-15,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,600.0,600.0,0.0,3
1,2019-01-18,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,300.0,300.0,0.0,3
2,2019-02-18,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,200.0,200.0,0.0,8
3,2019-02-25,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,9
4,2019-03-01,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,9
5,2019-03-07,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,200.0,200.0,0.0,10
6,2019-04-01,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,14
7,2019-04-08,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,200.0,200.0,0.0,15
8,2019-04-10,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,15
9,2019-04-15,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,300.0,300.0,0.0,16
10,2019-08-26,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,35
11,2019-09-05,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,36
12,2019-09-09,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,200.0,200.0,0.0,37
13,2019-09-23,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,50.0,50.0,0.0,39
14,2019-09-27,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,39
15,2019-09-29,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,-50.0,-50.0,0.0,39
16,2019-10-07,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,200.0,200.0,0.0,41
17,2019-10-14,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,42
18,2019-10-21,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,43
19,2019-10-28,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,44
20,2019-11-01,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,44
21,2019-11-04,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,45
22,2019-11-11,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,46
23,2019-11-18,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,47
24,2019-11-25,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,48
25,2019-12-02,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,49
26,2019-12-09,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,100.0,100.0,0.0,50
27,2019-12-18,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,300.0,300.0,0.0,51
28,2019-12-27,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,600.0,600.0,0.0,52
0,2020-01-13,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,600.0,600.0,0.0,3
1,2020-01-23,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,350.0,350.0,0.0,4
2,2020-02-06,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,200.0,200.0,0.0,6
3,2020-02-10,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,200.0,200.0,0.0,7
4,2020-03-11,Z24105417,隔離衣,,件,T,600.0,0.0,0.0,20.0,20.0,0.0,11
