,庫房,料號,品名,數量,週,年,滑動平均,滑動標準差,滑動變異數
0,DLN5,A02120180,塑膠注射針頭,60.0,1,2019,0.0,0.0,0.0
1,DLN5,A02120180,塑膠注射針頭,44.0,2,2019,0.0,0.0,0.0
2,DLN5,A02120180,塑膠注射針頭,29.0,3,2019,52.0,11.31,128.0
3,DLN5,A02120180,塑膠注射針頭,23.0,4,2019,36.5,10.61,112.5
4,DLN5,A02120180,塑膠注射針頭,32.0,5,2019,26.0,4.24,18.0
5,DLN5,A02120180,塑膠注射針頭,89.0,6,2019,27.5,6.36,40.5
6,DLN5,A02120180,塑膠注射針頭,58.0,7,2019,60.5,40.31,1624.5
7,DLN5,A02120180,塑膠注射針頭,52.0,8,2019,73.5,21.92,480.5
8,DLN5,A02120180,塑膠注射針頭,42.0,9,2019,55.0,4.24,18.0
9,DLN5,A02120180,塑膠注射針頭,33.0,10,2019,47.0,7.07,50.0
10,DLN5,A02120180,塑膠注射針頭,8.0,11,2019,37.5,6.36,40.5
11,DLN5,A02120180,塑膠注射針頭,53.0,12,2019,20.5,17.68,312.5
12,DLN5,A02120180,塑膠注射針頭,45.0,13,2019,30.5,31.82,1012.5
13,DLN5,A02120180,塑膠注射針頭,33.0,14,2019,49.0,5.66,32.0
14,DLN5,A02120180,塑膠注射針頭,53.0,15,2019,39.0,8.49,72.0
15,DLN5,A02120180,塑膠注射針頭,28.0,16,2019,43.0,14.14,200.0
16,DLN5,A02120180,塑膠注射針頭,40.0,17,2019,40.5,17.68,312.5
17,DLN5,A02120180,塑膠注射針頭,17.0,18,2019,34.0,8.49,72.0
18,DLN5,A02120180,塑膠注射針頭,30.0,19,2019,28.5,16.26,264.5
19,DLN5,A02120180,塑膠注射針頭,40.0,20,2019,23.5,9.19,84.5
20,DLN5,A02120180,塑膠注射針頭,47.0,21,2019,35.0,7.07,50.0
21,DLN5,A02120180,塑膠注射針頭,37.0,22,2019,43.5,4.95,24.5
22,DLN5,A02120180,塑膠注射針頭,29.0,23,2019,42.0,7.07,50.0
23,DLN5,A02120180,塑膠注射針頭,35.0,24,2019,33.0,5.66,32.0
24,DLN5,A02120180,塑膠注射針頭,27.0,25,2019,32.0,4.24,18.0
25,DLN5,A02120180,塑膠注射針頭,36.0,26,2019,31.0,5.66,32.0
26,DLN5,A02120180,塑膠注射針頭,20.0,27,2019,31.5,6.36,40.5
27,DLN5,A02120180,塑膠注射針頭,31.0,28,2019,28.0,11.31,128.0
28,DLN5,A02120180,塑膠注射針頭,34.0,29,2019,25.5,7.78,60.5
29,DLN5,A02120180,塑膠注射針頭,40.0,30,2019,32.5,2.12,4.5
30,DLN5,A02120180,塑膠注射針頭,44.0,31,2019,37.0,4.24,18.0
31,DLN5,A02120180,塑膠注射針頭,57.0,32,2019,42.0,2.83,8.0
32,DLN5,A02120180,塑膠注射針頭,92.0,33,2019,50.5,9.19,84.5
33,DLN5,A02120180,塑膠注射針頭,55.0,34,2019,74.5,24.75,612.5
34,DLN5,A02120180,塑膠注射針頭,15.0,35,2019,73.5,26.16,684.5
35,DLN5,A02120180,塑膠注射針頭,28.0,36,2019,35.0,28.28,800.0
36,DLN5,A02120180,塑膠注射針頭,33.0,37,2019,21.5,9.19,84.5
37,DLN5,A02120180,塑膠注射針頭,30.0,38,2019,30.5,3.54,12.5
38,DLN5,A02120180,塑膠注射針頭,38.0,39,2019,31.5,2.12,4.5
39,DLN5,A02120180,塑膠注射針頭,45.0,40,2019,34.0,5.66,32.0
40,DLN5,A02120180,塑膠注射針頭,45.0,41,2019,41.5,4.95,24.5
41,DLN5,A02120180,塑膠注射針頭,51.0,42,2019,45.0,0.0,0.0
42,DLN5,A02120180,塑膠注射針頭,64.0,43,2019,48.0,4.24,18.0
43,DLN5,A02120180,塑膠注射針頭,27.0,44,2019,57.5,9.19,84.5
44,DLN5,A02120180,塑膠注射針頭,28.0,45,2019,45.5,26.16,684.5
