,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
158,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,665.0,2019-01-06,1,False,3.0,3.0,2019
160,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1004.0,2019-01-12,2,False,5.0,2.0,2019
2,DLN5,A04411285,全拋式採血器,770.0,2019-01-20,3,False,5.0,2.0,2019
3,DLN5,A04411285,全拋式採血器,759.0,2019-01-27,4,False,5.0,2.0,2019
4,DLN5,A04411285,全拋式採血器,559.0,2019-02-03,5,True,5.0,2.0,2019
5,DLN5,A04411285,全拋式採血器,920.0,2019-02-10,6,False,0.0,7.0,2019
169,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1218.0,2019-02-15,7,True,5.0,2.0,2019
170,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1030.0,2019-02-19,8,True,5.0,2.0,2019
8,DLN5,A04411285,全拋式採血器,959.0,2019-03-03,9,False,3.0,4.0,2019
171,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,983.0,2019-03-05,10,True,5.0,2.0,2019
172,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,816.0,2019-03-15,11,True,5.0,2.0,2019
11,DLN5,A04411285,全拋式採血器,1061.0,2019-03-24,12,False,5.0,2.0,2019
12,DLN5,A04411285,全拋式採血器,828.0,2019-03-31,13,False,5.0,2.0,2019
13,DLN5,A04411285,全拋式採血器,599.0,2019-04-07,14,False,3.0,4.0,2019
173,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,988.0,2019-04-10,15,True,5.0,2.0,2019
176,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,919.0,2019-04-17,16,True,5.0,2.0,2019
16,DLN5,A04411285,全拋式採血器,1065.0,2019-04-28,17,True,5.0,2.0,2019
17,DLN5,A04411285,全拋式採血器,776.0,2019-05-05,18,True,4.0,3.0,2019
177,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,844.0,2019-05-07,19,True,5.0,2.0,2019
179,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,873.0,2019-05-17,20,True,5.0,2.0,2019
20,DLN5,A04411285,全拋式採血器,756.0,2019-05-26,21,False,5.0,2.0,2019
180,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,672.0,2019-06-01,22,False,5.0,2.0,2019
22,DLN5,A04411285,全拋式採血器,568.0,2019-06-09,23,False,4.0,3.0,2019
23,DLN5,A04411285,全拋式採血器,759.0,2019-06-16,24,False,5.0,2.0,2019
181,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,730.0,2019-06-19,25,True,5.0,2.0,2019
25,DLN5,A04411285,全拋式採血器,814.0,2019-06-30,26,False,5.0,2.0,2019
26,DLN5,A04411285,全拋式採血器,830.0,2019-07-07,27,False,5.0,2.0,2019
27,DLN5,A04411285,全拋式採血器,718.0,2019-07-14,28,False,5.0,2.0,2019
28,DLN5,A04411285,全拋式採血器,773.0,2019-07-21,29,False,5.0,2.0,2019
29,DLN5,A04411285,全拋式採血器,964.0,2019-07-28,30,False,5.0,2.0,2019
182,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,857.0,2019-08-04,31,False,5.0,2.0,2019
31,DLN5,A04411285,全拋式採血器,923.0,2019-08-11,32,False,5.0,2.0,2019
184,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1206.0,2019-08-15,33,True,5.0,2.0,2019
33,DLN5,A04411285,全拋式採血器,614.0,2019-08-25,34,False,5.0,2.0,2019
34,DLN5,A04411285,全拋式採血器,771.0,2019-09-01,35,False,5.0,2.0,2019
35,DLN5,A04411285,全拋式採血器,1051.0,2019-09-08,36,False,4.0,3.0,2019
36,DLN5,A04411285,全拋式採血器,915.0,2019-09-15,37,False,4.0,3.0,2019
188,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,923.0,2019-09-22,38,False,5.0,2.0,2019
191,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,759.0,2019-09-24,39,True,5.0,2.0,2019
39,DLN5,A04411285,全拋式採血器,843.0,2019-10-06,40,False,5.0,2.0,2019
192,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,947.0,2019-10-08,41,True,3.0,4.0,2019
193,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,673.0,2019-10-16,42,True,5.0,2.0,2019
42,DLN5,A04411285,全拋式採血器,915.0,2019-10-27,43,False,5.0,2.0,2019
43,DLN5,A04411285,全拋式採血器,792.0,2019-11-03,44,False,5.0,2.0,2019
44,DLN5,A04411285,全拋式採血器,692.0,2019-11-10,45,False,5.0,2.0,2019
45,DLN5,A04411285,全拋式採血器,853.0,2019-11-17,46,False,5.0,2.0,2019
46,DLN5,A04411285,全拋式採血器,1053.0,2019-11-24,47,False,5.0,2.0,2019
47,DLN5,A04411285,全拋式採血器,1084.0,2019-12-01,48,False,5.0,2.0,2019
48,DLN5,A04411285,全拋式採血器,940.0,2019-12-08,49,False,5.0,2.0,2019
194,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,825.0,2019-12-14,50,False,5.0,2.0,2019
50,DLN5,A04411285,全拋式採血器,987.0,2019-12-22,51,False,5.0,2.0,2019
197,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,945.0,2019-12-28,52,False,5.0,2.0,2019
52,DLN5,A04411285,全拋式採血器,459.0,2020-01-05,1,False,2.0,3.0,2020
198,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,662.0,2020-01-10,2,True,5.0,2.0,2020
54,DLN5,A04411285,全拋式採血器,583.0,2020-01-19,3,True,5.0,2.0,2020
199,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,195.0,2020-01-22,4,True,3.0,4.0,2020
56,DLN5,A04411285,全拋式採血器,166.0,2020-02-02,5,False,2.0,5.0,2020
57,DLN5,A04411285,全拋式採血器,916.0,2020-02-09,6,False,5.0,2.0,2020
58,DLN5,A04411285,全拋式採血器,919.0,2020-02-16,7,False,5.0,2.0,2020
201,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,854.0,2020-02-22,8,False,5.0,2.0,2020
60,DLN5,A04411285,全拋式採血器,719.0,2020-03-01,9,False,4.0,3.0,2020
61,DLN5,A04411285,全拋式採血器,899.0,2020-03-08,10,False,5.0,2.0,2020
62,DLN5,A04411285,全拋式採血器,1058.0,2020-03-15,11,False,5.0,2.0,2020
63,DLN5,A04411285,全拋式採血器,1117.0,2020-03-22,12,False,5.0,2.0,2020
209,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1648.0,2020-03-28,13,False,5.0,2.0,2020
215,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1671.0,2020-04-05,14,False,3.0,4.0,2020
216,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1687.0,2020-04-06,15,False,5.0,2.0,2020
218,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1550.0,2020-04-17,16,True,5.0,2.0,2020
219,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1477.0,2020-04-25,17,False,5.0,2.0,2020
222,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1327.0,2020-05-02,18,False,4.0,3.0,2020
224,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1212.0,2020-05-07,19,True,5.0,2.0,2020
71,DLN5,A04411285,全拋式採血器,1242.0,2020-05-17,20,False,5.0,2.0,2020
226,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,858.0,2020-05-20,21,True,5.0,2.0,2020
229,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,977.0,2020-05-28,22,True,5.0,2.0,2020
231,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,889.0,2020-06-03,23,True,5.0,2.0,2020
237,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1243.0,2020-06-14,24,False,5.0,2.0,2020
239,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1305.0,2020-06-18,25,True,5.0,2.0,2020
242,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1104.0,2020-06-28,26,True,3.0,4.0,2020
253,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1238.0,2020-07-05,27,False,5.0,2.0,2020
79,DLN5,A04411285,全拋式採血器,1239.0,2020-07-12,28,False,5.0,2.0,2020
257,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,855.0,2020-07-19,29,False,5.0,2.0,2020
259,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1075.0,2020-07-23,30,True,5.0,2.0,2020
260,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,921.0,2020-07-30,31,True,5.0,2.0,2020
261,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1150.0,2020-08-05,32,True,5.0,2.0,2020
84,DLN5,A04411285,全拋式採血器,1238.0,2020-08-16,33,False,5.0,2.0,2020
262,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1000.0,2020-08-17,34,True,5.0,2.0,2020
263,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1370.0,2020-08-30,35,False,5.0,2.0,2020
87,DLN5,A04411285,全拋式採血器,1039.0,2020-09-06,36,False,4.0,3.0,2020
264,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1058.0,2020-09-13,37,False,5.0,2.0,2020
268,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1102.0,2020-09-18,38,True,5.0,2.0,2020
269,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1063.0,2020-09-23,39,True,5.0,2.0,2020
91,DLN5,A04411285,全拋式採血器,831.0,2020-10-04,40,False,3.0,4.0,2020
92,DLN5,A04411285,全拋式採血器,663.0,2020-10-11,41,False,4.0,3.0,2020
270,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1356.0,2020-10-12,42,True,5.0,2.0,2020
272,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1164.0,2020-10-23,43,True,5.0,2.0,2020
282,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1075.0,2020-11-01,44,False,5.0,2.0,2020
290,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,999.0,2020-11-08,45,False,5.0,2.0,2020
297,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,832.0,2020-11-15,46,False,5.0,2.0,2020
298,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1106.0,2020-11-22,47,False,5.0,2.0,2020
300,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,899.0,2020-11-24,48,True,5.0,2.0,2020
301,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1179.0,2020-12-05,49,False,5.0,2.0,2020
101,DLN5,A04411285,全拋式採血器,851.0,2020-12-13,50,False,5.0,2.0,2020
302,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,930.0,2020-12-19,51,False,5.0,2.0,2020
303,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,881.0,2020-12-26,52,False,5.0,2.0,2020
305,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,983.0,2021-01-06,1,True,5.0,2.0,2021
307,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1198.0,2021-01-16,2,False,5.0,2.0,2021
308,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1112.0,2021-01-23,3,False,5.0,2.0,2021
310,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,979.0,2021-01-28,4,True,5.0,2.0,2021
108,DLN5,A04411285,全拋式採血器,1101.0,2021-02-07,5,True,5.0,2.0,2021
109,DLN5,A04411285,全拋式採血器,145.0,2021-02-09,6,True,2.0,5.0,2021
110,DLN5,A04411285,全拋式採血器,702.0,2021-02-21,7,False,3.0,4.0,2021
111,DLN5,A04411285,全拋式採血器,1012.0,2021-02-28,8,False,5.0,2.0,2021
112,DLN5,A04411285,全拋式採血器,1048.0,2021-03-07,9,False,4.0,3.0,2021
113,DLN5,A04411285,全拋式採血器,917.0,2021-03-14,10,False,5.0,2.0,2021
114,DLN5,A04411285,全拋式採血器,981.0,2021-03-21,11,False,5.0,2.0,2021
311,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,833.0,2021-03-23,12,True,5.0,2.0,2021
116,DLN5,A04411285,全拋式採血器,721.0,2021-04-04,13,False,4.0,3.0,2021
117,DLN5,A04411285,全拋式採血器,953.0,2021-04-11,14,False,4.0,3.0,2021
118,DLN5,A04411285,全拋式採血器,705.0,2021-04-18,15,False,5.0,2.0,2021
312,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,565.0,2021-04-23,16,True,5.0,2.0,2021
313,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,769.0,2021-04-26,17,True,5.0,2.0,2021
121,DLN5,A04411285,全拋式採血器,818.0,2021-05-09,18,False,5.0,2.0,2021
122,DLN5,A04411285,全拋式採血器,752.0,2021-05-16,19,False,5.0,2.0,2021
314,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,728.0,2021-05-18,20,True,5.0,2.0,2021
124,DLN5,A04411285,全拋式採血器,791.0,2021-05-30,21,False,5.0,2.0,2021
125,DLN5,A04411285,全拋式採血器,826.0,2021-06-06,22,False,5.0,2.0,2021
316,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,873.0,2021-06-13,23,False,5.0,2.0,2021
318,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,836.0,2021-06-19,24,False,4.0,3.0,2021
319,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,766.0,2021-06-21,25,True,5.0,2.0,2021
320,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,956.0,2021-06-30,26,True,5.0,2.0,2021
324,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1053.0,2021-07-10,27,False,5.0,2.0,2021
327,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1072.0,2021-07-16,28,True,5.0,2.0,2021
328,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,874.0,2021-07-23,29,True,5.0,2.0,2021
331,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,853.0,2021-08-01,30,False,5.0,2.0,2021
334,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,826.0,2021-08-06,31,True,5.0,2.0,2021
135,DLN5,A04411285,全拋式採血器,749.0,2021-08-15,32,False,5.0,2.0,2021
136,DLN5,A04411285,全拋式採血器,781.0,2021-08-18,33,True,5.0,2.0,2021
137,DLN5,A04411285,全拋式採血器,864.0,2021-08-29,34,False,5.0,2.0,2021
335,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,1097.0,2021-09-04,35,False,4.0,3.0,2021
139,DLN5,A04411285,全拋式採血器,1099.0,2021-09-12,36,False,5.0,2.0,2021
140,DLN5,A04411285,全拋式採血器,970.0,2021-09-19,37,False,5.0,2.0,2021
141,DLN5,A04411285,全拋式採血器,743.0,2021-09-26,38,True,3.0,4.0,2021
142,DLN5,A04411285,全拋式採血器,1087.0,2021-10-03,39,False,5.0,2.0,2021
143,DLN5,A04411285,全拋式採血器,716.0,2021-10-10,40,False,5.0,2.0,2021
337,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,619.0,2021-10-17,41,False,4.0,3.0,2021
145,DLN5,A04411285,全拋式採血器,657.0,2021-10-24,42,False,5.0,2.0,2021
146,DLN5,A04411285,全拋式採血器,750.0,2021-10-31,43,False,5.0,2.0,2021
147,DLN5,A04411285,全拋式採血器,777.0,2021-11-07,44,False,5.0,2.0,2021
148,DLN5,A04411285,全拋式採血器,876.0,2021-11-14,45,False,5.0,2.0,2021
340,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,753.0,2021-11-18,46,True,5.0,2.0,2021
150,DLN5,A04411285,全拋式採血器,993.0,2021-11-28,47,False,5.0,2.0,2021
151,DLN5,A04411285,全拋式採血器,859.0,2021-12-05,48,False,5.0,2.0,2021
152,DLN5,A04411285,全拋式採血器,809.0,2021-12-12,49,False,5.0,2.0,2021
153,DLN5,A04411285,全拋式採血器,924.0,2021-12-19,50,False,5.0,2.0,2021
342,DLN5,A04411370,胰島素筆型注射器針頭32G x 4mm,994.0,2021-12-25,51,False,5.0,2.0,2021
