,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
171,DLN5,B00304056,彈性紗捲,716.0,2019-01-06,1,False,3.0,3.0,2019
191,DLN5,B00304056,彈性紗捲,1068.0,2019-01-13,2,False,5.0,2.0,2019
202,DLN5,B00304056,彈性紗捲,798.0,2019-01-20,3,False,5.0,2.0,2019
217,DLN5,B00304056,彈性紗捲,799.0,2019-01-27,4,False,5.0,2.0,2019
236,DLN5,B00304056,彈性紗捲,596.0,2019-02-03,5,True,5.0,2.0,2019
239,DLN5,B00304056,彈性紗捲,948.0,2019-02-09,6,False,0.0,7.0,2019
251,DLN5,B00304056,彈性紗捲,1255.0,2019-02-17,7,False,5.0,2.0,2019
260,DLN5,B00304056,彈性紗捲,1060.0,2019-02-24,8,False,5.0,2.0,2019
274,DLN5,B00304056,彈性紗捲,1005.0,2019-03-03,9,False,3.0,4.0,2019
286,DLN5,B00304056,彈性紗捲,1033.0,2019-03-08,10,True,5.0,2.0,2019
291,DLN5,B00304056,彈性紗捲,862.0,2019-03-14,11,True,5.0,2.0,2019
300,DLN5,B00304056,彈性紗捲,1087.0,2019-03-23,12,False,5.0,2.0,2019
315,DLN5,B00304056,彈性紗捲,855.0,2019-03-31,13,False,5.0,2.0,2019
327,DLN5,B00304056,彈性紗捲,620.0,2019-04-07,14,False,3.0,4.0,2019
337,DLN5,B00304056,彈性紗捲,1030.0,2019-04-14,15,False,5.0,2.0,2019
349,DLN5,B00304056,彈性紗捲,967.0,2019-04-21,16,False,5.0,2.0,2019
358,DLN5,B00304056,彈性紗捲,1107.0,2019-04-28,17,True,5.0,2.0,2019
367,DLN5,B00304056,彈性紗捲,802.0,2019-05-05,18,True,4.0,3.0,2019
378,DLN5,B00304056,彈性紗捲,887.0,2019-05-12,19,False,5.0,2.0,2019
388,DLN5,B00304056,彈性紗捲,924.0,2019-05-18,20,False,5.0,2.0,2019
404,DLN5,B00304056,彈性紗捲,820.0,2019-05-26,21,False,5.0,2.0,2019
427,DLN5,B00304056,彈性紗捲,719.0,2019-06-02,22,False,5.0,2.0,2019
434,DLN5,B00304056,彈性紗捲,593.0,2019-06-09,23,False,4.0,3.0,2019
435,DLN5,B00304056,彈性紗捲,785.0,2019-06-14,24,True,5.0,2.0,2019
449,DLN5,B00304056,彈性紗捲,784.0,2019-06-23,25,False,5.0,2.0,2019
463,DLN5,B00304056,彈性紗捲,870.0,2019-06-30,26,False,5.0,2.0,2019
476,DLN5,B00304056,彈性紗捲,869.0,2019-07-07,27,False,5.0,2.0,2019
489,DLN5,B00304056,彈性紗捲,761.0,2019-07-14,28,False,5.0,2.0,2019
493,DLN5,B00304056,彈性紗捲,799.0,2019-07-21,29,False,5.0,2.0,2019
