,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
158,DLN5,C13830005,IV注射帽,810.0,2019-01-06,1,False,3.0,3.0,2019
166,DLN5,C13830005,IV注射帽,1217.0,2019-01-12,2,False,5.0,2.0,2019
174,DLN5,C13830005,IV注射帽,920.0,2019-01-20,3,False,5.0,2.0,2019
187,DLN5,C13830005,IV注射帽,902.0,2019-01-27,4,False,5.0,2.0,2019
191,DLN5,C13830005,IV注射帽,660.0,2019-02-03,5,True,5.0,2.0,2019
209,DLN5,C13830005,IV注射帽,1110.0,2019-02-09,6,False,0.0,7.0,2019
215,DLN5,C13830005,IV注射帽,1435.0,2019-02-15,7,True,5.0,2.0,2019
230,DLN5,C13830005,IV注射帽,1248.0,2019-02-24,8,False,5.0,2.0,2019
238,DLN5,C13830005,IV注射帽,1145.0,2019-03-01,9,True,3.0,4.0,2019
247,DLN5,C13830005,IV注射帽,1214.0,2019-03-10,10,False,5.0,2.0,2019
256,DLN5,C13830005,IV注射帽,962.0,2019-03-15,11,True,5.0,2.0,2019
276,DLN5,C13830005,IV注射帽,1328.0,2019-03-23,12,False,5.0,2.0,2019
284,DLN5,C13830005,IV注射帽,1044.0,2019-03-29,13,True,5.0,2.0,2019
288,DLN5,C13830005,IV注射帽,842.0,2019-04-04,14,True,3.0,4.0,2019
292,DLN5,C13830005,IV注射帽,1234.0,2019-04-11,15,True,5.0,2.0,2019
305,DLN5,C13830005,IV注射帽,1146.0,2019-04-21,16,False,5.0,2.0,2019
326,DLN5,C13830005,IV注射帽,1252.0,2019-04-28,17,True,5.0,2.0,2019
340,DLN5,C13830005,IV注射帽,925.0,2019-05-05,18,True,4.0,3.0,2019
347,DLN5,C13830005,IV注射帽,1056.0,2019-05-12,19,False,5.0,2.0,2019
359,DLN5,C13830005,IV注射帽,1075.0,2019-05-19,20,False,5.0,2.0,2019
364,DLN5,C13830005,IV注射帽,923.0,2019-05-23,21,True,5.0,2.0,2019
370,DLN5,C13830005,IV注射帽,808.0,2019-06-01,22,False,5.0,2.0,2019
372,DLN5,C13830005,IV注射帽,671.0,2019-06-09,23,False,4.0,3.0,2019
379,DLN5,C13830005,IV注射帽,896.0,2019-06-16,24,False,5.0,2.0,2019
390,DLN5,C13830005,IV注射帽,918.0,2019-06-23,25,False,5.0,2.0,2019
391,DLN5,C13830005,IV注射帽,983.0,2019-06-24,26,True,5.0,2.0,2019
398,DLN5,C13830005,IV注射帽,1000.0,2019-07-07,27,False,5.0,2.0,2019
