,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
195,DLN5,C13930399,T型連接管,855.0,2019-01-06,1,False,3.0,3.0,2019
263,DLN5,C13930399,T型連接管,1290.0,2019-01-13,2,False,5.0,2.0,2019
312,DLN5,C13930399,T型連接管,972.0,2019-01-20,3,False,5.0,2.0,2019
368,DLN5,C13930399,T型連接管,963.0,2019-01-27,4,False,5.0,2.0,2019
397,DLN5,C13930399,T型連接管,690.0,2019-02-03,5,True,5.0,2.0,2019
439,DLN5,C13930399,T型連接管,1153.0,2019-02-10,6,False,0.0,7.0,2019
516,DLN5,C13930399,T型連接管,1518.0,2019-02-17,7,False,5.0,2.0,2019
580,DLN5,C13930399,T型連接管,1319.0,2019-02-24,8,False,5.0,2.0,2019
631,DLN5,C13930399,T型連接管,1200.0,2019-03-03,9,False,3.0,4.0,2019
698,DLN5,C13930399,T型連接管,1290.0,2019-03-10,10,False,5.0,2.0,2019
759,DLN5,C13930399,T型連接管,1030.0,2019-03-17,11,False,5.0,2.0,2019
833,DLN5,C13930399,T型連接管,1408.0,2019-03-24,12,False,5.0,2.0,2019
883,DLN5,C13930399,T型連接管,1097.0,2019-03-31,13,False,5.0,2.0,2019
924,DLN5,C13930399,T型連接管,887.0,2019-04-07,14,False,3.0,4.0,2019
988,DLN5,C13930399,T型連接管,1304.0,2019-04-14,15,False,5.0,2.0,2019
1054,DLN5,C13930399,T型連接管,1214.0,2019-04-21,16,False,5.0,2.0,2019
1125,DLN5,C13930399,T型連接管,1326.0,2019-04-28,17,True,5.0,2.0,2019
1182,DLN5,C13930399,T型連接管,986.0,2019-05-05,18,True,4.0,3.0,2019
1251,DLN5,C13930399,T型連接管,1134.0,2019-05-12,19,False,5.0,2.0,2019
1311,DLN5,C13930399,T型連接管,1144.0,2019-05-19,20,False,5.0,2.0,2019
1371,DLN5,C13930399,T型連接管,986.0,2019-05-26,21,False,5.0,2.0,2019
1413,DLN5,C13930399,T型連接管,856.0,2019-06-02,22,False,5.0,2.0,2019
1457,DLN5,C13930399,T型連接管,720.0,2019-06-09,23,False,4.0,3.0,2019
1516,DLN5,C13930399,T型連接管,961.0,2019-06-16,24,False,5.0,2.0,2019
1576,DLN5,C13930399,T型連接管,985.0,2019-06-23,25,False,5.0,2.0,2019
1633,DLN5,C13930399,T型連接管,1046.0,2019-06-30,26,False,5.0,2.0,2019
1701,DLN5,C13930399,T型連接管,1072.0,2019-07-07,27,False,5.0,2.0,2019
1756,DLN5,C13930399,T型連接管,906.0,2019-07-14,28,False,5.0,2.0,2019
1815,DLN5,C13930399,T型連接管,983.0,2019-07-21,29,False,5.0,2.0,2019
1879,DLN5,C13930399,T型連接管,1179.0,2019-07-28,30,False,5.0,2.0,2019
1930,DLN5,C13930399,T型連接管,1060.0,2019-08-04,31,False,5.0,2.0,2019
1986,DLN5,C13930399,T型連接管,1198.0,2019-08-11,32,False,5.0,2.0,2019
2046,DLN5,C13930399,T型連接管,1484.0,2019-08-18,33,False,5.0,2.0,2019
2082,DLN5,C13930399,T型連接管,784.0,2019-08-25,34,False,5.0,2.0,2019
2132,DLN5,C13930399,T型連接管,963.0,2019-09-01,35,False,5.0,2.0,2019
2201,DLN5,C13930399,T型連接管,1309.0,2019-09-08,36,False,4.0,3.0,2019
2254,DLN5,C13930399,T型連接管,1107.0,2019-09-15,37,False,4.0,3.0,2019
2317,DLN5,C13930399,T型連接管,1181.0,2019-09-22,38,False,5.0,2.0,2019
2369,DLN5,C13930399,T型連接管,970.0,2019-09-29,39,True,5.0,2.0,2019
2425,DLN5,C13930399,T型連接管,1020.0,2019-10-06,40,False,5.0,2.0,2019
