,date,isholiday,週
718,2019-01-01,1,1
719,2019-01-05,1,1
720,2019-01-06,1,1
721,2019-01-12,1,2
722,2019-01-13,1,2
723,2019-01-19,0,3
724,2019-01-20,1,3
725,2019-01-26,1,4
726,2019-01-27,1,4
727,2019-02-02,1,5
728,2019-02-03,1,5
729,2019-02-04,1,6
730,2019-02-05,1,6
731,2019-02-06,1,6
732,2019-02-07,1,6
733,2019-02-08,1,6
734,2019-02-09,1,6
735,2019-02-10,1,6
736,2019-02-16,1,7
737,2019-02-17,1,7
738,2019-02-23,0,8
739,2019-02-24,1,8
740,2019-02-28,1,9
741,2019-03-01,1,9
742,2019-03-02,1,9
743,2019-03-03,1,9
744,2019-03-09,1,10
745,2019-03-10,1,10
746,2019-03-16,1,11
747,2019-03-17,1,11
748,2019-03-23,1,12
749,2019-03-24,1,12
750,2019-03-30,1,13
751,2019-03-31,1,13
752,2019-04-04,1,14
753,2019-04-05,1,14
754,2019-04-06,1,14
755,2019-04-07,1,14
756,2019-04-13,1,15
757,2019-04-14,1,15
758,2019-04-20,1,16
759,2019-04-21,1,16
760,2019-04-27,1,17
761,2019-04-28,1,17
762,2019-05-01,0,18
763,2019-05-04,1,18
764,2019-05-05,1,18
765,2019-05-11,1,19
766,2019-05-12,1,19
767,2019-05-18,1,20
768,2019-05-19,1,20
769,2019-05-25,1,21
770,2019-05-26,1,21
771,2019-06-01,1,22
772,2019-06-02,1,22
773,2019-06-07,1,23
774,2019-06-08,1,23
775,2019-06-09,1,23
776,2019-06-15,1,24
777,2019-06-16,1,24
778,2019-06-22,1,25
779,2019-06-23,1,25
780,2019-06-29,1,26
781,2019-06-30,1,26
782,2019-07-06,1,27
783,2019-07-07,1,27
784,2019-07-13,1,28
785,2019-07-14,1,28
786,2019-07-20,1,29
787,2019-07-21,1,29
788,2019-07-27,1,30
789,2019-07-28,1,30
790,2019-08-03,1,31
791,2019-08-04,1,31
792,2019-08-10,1,32
793,2019-08-11,1,32
794,2019-08-17,1,33
795,2019-08-18,1,33
796,2019-08-24,1,34
797,2019-08-25,1,34
798,2019-08-31,1,35
799,2019-09-01,1,35
800,2019-09-03,0,36
801,2019-09-07,1,36
802,2019-09-08,1,36
803,2019-09-13,1,37
804,2019-09-14,1,37
805,2019-09-15,1,37
806,2019-09-21,1,38
807,2019-09-22,1,38
808,2019-09-28,1,39
809,2019-09-29,1,39
810,2019-10-05,0,40
811,2019-10-06,1,40
812,2019-10-10,1,41
813,2019-10-11,1,41
814,2019-10-12,1,41
815,2019-10-13,1,41
816,2019-10-19,1,42
817,2019-10-20,1,42
818,2019-10-26,1,43
819,2019-10-27,1,43
820,2019-11-02,1,44
821,2019-11-03,1,44
822,2019-11-09,1,45
823,2019-11-10,1,45
824,2019-11-16,1,46
825,2019-11-17,1,46
826,2019-11-23,1,47
827,2019-11-24,1,47
828,2019-11-30,1,48
829,2019-12-01,1,48
830,2019-12-07,1,49
831,2019-12-08,1,49
832,2019-12-14,1,50
833,2019-12-15,1,50
834,2019-12-21,1,51
835,2019-12-22,1,51
836,2019-12-28,1,52
837,2019-12-29,1,52
838,2020-01-01,1,1
839,2020-01-04,1,1
840,2020-01-05,1,1
841,2020-01-11,1,2
842,2020-01-12,1,2
843,2020-01-18,1,3
844,2020-01-19,1,3
845,2020-01-23,1,4
846,2020-01-24,1,4
847,2020-01-25,1,4
848,2020-01-26,1,4
849,2020-01-27,1,5
850,2020-01-28,1,5
851,2020-01-29,1,5
852,2020-02-01,1,5
853,2020-02-02,1,5
854,2020-02-08,1,6
855,2020-02-09,1,6
856,2020-02-15,0,7
857,2020-02-16,1,7
858,2020-02-22,1,8
859,2020-02-23,1,8
860,2020-02-28,1,9
861,2020-02-29,1,9
862,2020-03-01,1,9
863,2020-03-07,1,10
864,2020-03-08,1,10
865,2020-03-14,1,11
866,2020-03-15,1,11
867,2020-03-21,1,12
868,2020-03-22,1,12
869,2020-03-28,1,13
870,2020-03-29,1,13
871,2020-04-02,1,14
872,2020-04-03,1,14
873,2020-04-04,1,14
874,2020-04-05,1,14
875,2020-04-11,1,15
876,2020-04-12,1,15
877,2020-04-18,1,16
878,2020-04-19,1,16
879,2020-04-25,1,17
880,2020-04-26,1,17
881,2020-05-01,0,18
882,2020-05-02,1,18
883,2020-05-03,1,18
884,2020-05-09,1,19
885,2020-05-10,1,19
886,2020-05-16,1,20
887,2020-05-17,1,20
888,2020-05-23,1,21
889,2020-05-24,1,21
890,2020-05-30,1,22
891,2020-05-31,1,22
892,2020-06-06,1,23
893,2020-06-07,1,23
894,2020-06-13,1,24
895,2020-06-14,1,24
896,2020-06-20,0,25
897,2020-06-21,1,25
898,2020-06-25,1,26
899,2020-06-26,1,26
900,2020-06-27,1,26
901,2020-06-28,1,26
902,2020-07-04,1,27
903,2020-07-05,1,27
904,2020-07-11,1,28
905,2020-07-12,1,28
906,2020-07-18,1,29
907,2020-07-19,1,29
908,2020-07-25,1,30
909,2020-07-26,1,30
910,2020-08-01,1,31
911,2020-08-02,1,31
912,2020-08-08,1,32
913,2020-08-09,1,32
914,2020-08-15,1,33
915,2020-08-16,1,33
916,2020-08-22,1,34
917,2020-08-23,1,34
918,2020-08-29,1,35
919,2020-08-30,1,35
920,2020-09-03,0,36
921,2020-09-05,1,36
922,2020-09-06,1,36
923,2020-09-12,1,37
924,2020-09-13,1,37
925,2020-09-19,1,38
926,2020-09-20,1,38
927,2020-09-26,0,39
928,2020-09-27,1,39
929,2020-10-01,1,40
930,2020-10-02,1,40
931,2020-10-03,1,40
932,2020-10-04,1,40
933,2020-10-09,1,41
934,2020-10-10,1,41
935,2020-10-11,1,41
936,2020-10-17,1,42
937,2020-10-18,1,42
938,2020-10-24,1,43
939,2020-10-25,1,43
940,2020-10-31,1,44
941,2020-11-01,1,44
942,2020-11-07,1,45
943,2020-11-08,1,45
944,2020-11-14,1,46
945,2020-11-15,1,46
946,2020-11-21,1,47
947,2020-11-22,1,47
948,2020-11-28,1,48
949,2020-11-29,1,48
950,2020-12-05,1,49
951,2020-12-06,1,49
952,2020-12-12,1,50
953,2020-12-13,1,50
954,2020-12-19,1,51
955,2020-12-20,1,51
956,2020-12-26,1,52
957,2020-12-27,1,52
958,2021-01-01,1,53
959,2021-01-02,1,53
960,2021-01-03,1,53
961,2021-01-09,1,1
962,2021-01-10,1,1
963,2021-01-16,1,2
964,2021-01-17,1,2
965,2021-01-23,1,3
966,2021-01-24,1,3
967,2021-01-30,1,4
968,2021-01-31,1,4
969,2021-02-06,1,5
970,2021-02-07,1,5
971,2021-02-10,1,6
972,2021-02-11,1,6
973,2021-02-12,1,6
974,2021-02-13,1,6
975,2021-02-14,1,6
976,2021-02-15,1,7
977,2021-02-16,1,7
978,2021-02-20,0,7
979,2021-02-21,1,7
980,2021-02-27,1,8
981,2021-02-28,1,8
982,2021-03-01,1,9
983,2021-03-06,1,9
984,2021-03-07,1,9
985,2021-03-13,1,10
986,2021-03-14,1,10
987,2021-03-20,1,11
988,2021-03-21,1,11
989,2021-03-27,1,12
990,2021-03-28,1,12
991,2021-04-02,1,13
992,2021-04-03,1,13
993,2021-04-04,1,13
994,2021-04-05,1,14
995,2021-04-10,1,14
996,2021-04-11,1,14
997,2021-04-17,1,15
998,2021-04-18,1,15
999,2021-04-24,1,16
0,2021-04-25,1,16
1,2021-05-01,1,17
2,2021-05-02,1,17
3,2021-05-08,1,18
4,2021-05-09,1,18
5,2021-05-15,1,19
6,2021-05-16,1,19
7,2021-05-22,1,20
8,2021-05-23,1,20
9,2021-05-29,1,21
10,2021-05-30,1,21
11,2021-06-05,1,22
12,2021-06-06,1,22
13,2021-06-12,1,23
14,2021-06-13,1,23
15,2021-06-14,1,24
16,2021-06-19,1,24
17,2021-06-20,1,24
18,2021-06-26,1,25
19,2021-06-27,1,25
20,2021-07-03,1,26
21,2021-07-04,1,26
22,2021-07-10,1,27
23,2021-07-11,1,27
24,2021-07-17,1,28
25,2021-07-18,1,28
26,2021-07-24,1,29
27,2021-07-25,1,29
28,2021-07-31,1,30
29,2021-08-01,1,30
30,2021-08-07,1,31
31,2021-08-08,1,31
32,2021-08-14,1,32
33,2021-08-15,1,32
34,2021-08-21,1,33
35,2021-08-22,1,33
36,2021-08-28,1,34
37,2021-08-29,1,34
38,2021-09-03,0,35
39,2021-09-04,1,35
40,2021-09-05,1,35
41,2021-09-11,0,36
42,2021-09-12,1,36
43,2021-09-18,1,37
44,2021-09-19,1,37
45,2021-09-20,1,38
46,2021-09-21,1,38
47,2021-09-25,1,38
48,2021-09-26,1,38
49,2021-10-02,1,39
50,2021-10-03,1,39
51,2021-10-09,1,40
52,2021-10-10,1,40
53,2021-10-11,1,41
54,2021-10-16,1,41
55,2021-10-17,1,41
56,2021-10-23,1,42
57,2021-10-24,1,42
58,2021-10-30,1,43
59,2021-10-31,1,43
60,2021-11-06,1,44
61,2021-11-07,1,44
62,2021-11-13,1,45
63,2021-11-14,1,45
64,2021-11-20,1,46
65,2021-11-21,1,46
66,2021-11-27,1,47
67,2021-11-28,1,47
68,2021-12-04,1,48
69,2021-12-05,1,48
70,2021-12-11,1,49
71,2021-12-12,1,49
72,2021-12-18,1,50
73,2021-12-19,1,50
74,2021-12-25,1,51
75,2021-12-26,1,51
76,2021-12-31,1,52
77,2022-01-01,1,52
78,2022-01-02,1,52
79,2022-01-08,1,1
80,2022-01-09,1,1
81,2022-01-15,1,2
82,2022-01-16,1,2
83,2022-01-22,0,3
84,2022-01-23,1,3
85,2022-01-29,1,4
