,料號
8,B03251164
9,B05469023
11,B07109004
16,B13332005
18,B13700205
22,D00304406
23,D16412154
24,F10110303
25,G80100001
26,G80504051
28,K80001908
29,K80004028
31,K82430329
32,K82600612
34,V04702002
35,Z25200010
40,B07202101
41,B08142448
51,F11010008
53,V04451006
56,G80501505
57,G80503107
58,G81100016
62,A00420135
63,A02320205
65,B08340408
72,V03111008
74,M00030327
75,A00520051
79,K80003312
85,G80505008
87,Z25311145
89,G10705008
90,G80502057
92,K82430234
94,B13500455
95,B13500558
96,Z24105417
98,G81300012
99,B00215008
103,T02140068
104,T02140076
105,A04120306
106,A46441986
109,G80100027
111,Z26720137
112,G80506039
117,B08143334
118,B13500807
119,G81200207
137,C02113149
152,C00130166
156,C13931457
157,D00320301
159,U90480016
165,F01321107
166,A04200038
181,J00202001
182,T01101016
188,A04300306
194,A00421108
196,A00421174
200,B03647700
