,料號,Chinese_Name,規格,型號,庫存單位代碼,庫存單位,常備量,庫存量
0,B13700102,有粉乳膠檢診手套,100支/盒,S,11,盒,0,0
1,B13700205,檢診手套(非滅菌),100支/盒,M,11,盒,0,0
2,C02113149,抽痰管，內含手控接頭,14Fr100條/袋  6袋/箱,BSU14,4,條,0,-100
3,F01321004,廢液收集器-開刀房區(有止溢閥),有止溢閥,CSB-200S3,1,個,0,140
4,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,CMP0400201,1,個,0,192
5,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,454322,2,支,0,231
6,G81100016,厭氧攜送培養基,20支/包 100支/盒,CMP0400081,2,支,0,79
7,Z25200010,外科綁帶手術口罩(第2等級),50個/盒,,11,盒,0,0
8,C02513141,鼻胃管14Fr  可顯影125cm,30條/包 ，4包/箱,,4,條,0,2
9,B08142448,紗布墊 10cmx10cmx8ply,2片/包,,7,包,0,186
10,V03111008,紙口罩,100個/盒,,11,盒,0,0
11,F11010008,尿杯 Urine cup,120-200cc  白色,,1,個,0,1290
12,G80506039,黑頭ESR管(真空無菌)1040302啟用,受容量5ml採血量2-3ml,454073,2,支,0,130
13,K80003312,藍蓋螺旋尿管,10ml,FLA-2-10SCVT-100,2,支,0,135
14,C00211083,橡皮導尿管1wayNo16美規,50條/袋  2袋/箱,,4,條,0,37
15,G10705008,消毒錠,2.5Gx100粒/瓶 6瓶/箱,BK-25,10,瓶,0,5
16,T01101016,氧氣口罩成人含接管,,OX-3,1,個,0,29
17,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,455036,2,支,0,660
18,T02140068,鼻咽喉插管NASAL AIRWAY,6.0#,100/210/060,1,個,0,3
19,T02140076,鼻咽喉插管NASAL AIRWAY,7.0#,100/210/070,1,個,0,9
20,A04120306,幫浦輸液套(一般型),附無針針頭2個,14687,1,個,0,0
21,A46441986,幫浦輸液套(一般型),,M46441980AP,103,EA,0,32
22,B08143334,紗布墊 3〞X3〞X8Ply,3〞X3〞-8Ply  10片/包,,7,包,0,25
23,A00120221,20CC塑膠注射空針 (有螺紋),20ml luer lock,MDSS20L,2,支,0,0
24,B13500807,無菌手套8.0Fr(無粉)-病房用,#8.0,1318,24,雙,0,423
25,A02120241,塑膠注射針頭,24Gx1〞    100支/盒,4657675,2,支,0,650
26,C14000004,輸液延長管,600付/箱,A130,4,條,0,295
27,C13931457,安全注射器回拉式5ML,5ml 23G*1 1/4〞,140065IM,2,支,0,0
28,A00120033,2.5-3cc PVC 注射空針,無螺紋2.5-3cc，23-24Gx1〞-1+1/4〞,,2,支,0,652
29,C02113096,抽痰管有刻度內含手控接頭,8FR 100條/袋6袋/箱,,4,條,0,45
30,A00120059,5cc塑膠注射空針,有螺紋5cc，23Gx1+1/4〞,,2,支,500,1301
31,A03295054,安全式注射筆專用針,30G × 5mm,329505,2,支,0,270
32,A04200038,安全靜脈點滴輸液套(免針式),180cm,CIV-180EYS,5,付,0,292
33,B13500651,無菌手套6.5Fr(無粉)-病房用,#6.5,1318,24,雙,0,0
