,料號,Chinese_Name,規格,型號,庫存單位代碼,庫存單位,常備量,庫存量
0,B00215008,網狀彈性繃帶,5# 25Y /盒,,11,盒,0,1
1,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,,12,卷,0,0
2,B00950006,管狀襪套,4〞X10Y,,14,捲,0,6
3,B00970002,管狀襪套,6〞X10Y,,14,捲,0,2
4,B03251164,紙膠布,1〞x10YD;附切台 120/S,1530-1,12,卷,0,243
5,B03251310,透氣帶膠,無切 3〞x5yd 25捲/盒,BP35,14,捲,0,8
6,B04820007,3M醫療膠帶(未滅菌),1/2吋*10碼,1538-0,14,捲,0,38
7,B04904105,舒軟膠布,100mm*10M,EBR-10010,12,卷,0,24
8,B05469023,6吋棉棒,普通棉棒10支-包,,7,包,0,1370
9,B05569026,沖洗棉棒-2支,2支/包,,7,包,0,250
10,B05569068,沖洗棉棒-6支,6支/包,,7,包,0,908
11,B05569103,口腔棉棒 棉頭2.5cm直徑0.8cm,5支/包,,7,包,0,4500
12,B07109004,酒精棉片,100片/盒60盒/箱,,8,片,0,7800
13,B07202101,ENT棉棒,10支/包,,7,包,0,950
14,B08142448,紗布墊 10cmx10cmx8ply,2片/包,,7,包,0,186
15,B08320206,Y型紗布-不織布,2〞x2〞  2片/包,,7,包,0,2090
16,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,YN-66-SPS,2,支,0,500
17,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,,11,盒,0,3536
18,B13700102,有粉乳膠檢診手套,100支/盒,S,11,盒,0,0
19,D00669305,3-0   尼龍線,24mm x 75cm,C0935352,7,包,0,231
20,F10110303,塑膠藥杯，30ML刻度,30cc 1.須有清楚刻度 ，杯口平滑   2.杯口寬減杯底寬度少於1cm(投標時請附5個樣品現場審查),,1,個,0,9300
21,F11010008,尿杯 Urine cup,120-200cc  白色,,1,個,0,1290
22,F20111009,塑膠彎盆,500-600cc,CY-P003,1,個,0,339
23,G10705008,消毒錠,2.5Gx100粒/瓶 6瓶/箱,BK-25,10,瓶,0,5
24,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,456089,2,支,0,144
25,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,454322,2,支,0,231
26,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,367884,2,支,0,100
27,G80504051,紫頭CBC管(真空無菌),受容量5ml採血量2-3ml,367856,2,支,0,1220
28,G80506039,黑頭ESR管(真空無菌)1040302啟用,受容量5ml採血量2-3ml,454073,2,支,0,130
29,G81100016,厭氧攜送培養基,20支/包 100支/盒,CMP0400081,2,支,0,79
30,G81200207,嗜氧攜送培養基,,CMP0400051,2,支,0,125
31,J00202506,尿液收集袋,(24小時使用) 3500CC,SY8020,1,個,0,26
32,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,SY9514+SY9515,2,支,0,738
33,K80003312,藍蓋螺旋尿管,10ml,FLA-2-10SCVT-100,2,支,0,135
34,K80004028,SST(Yellow)管,5ml 100EA/Bx,456073,2,支,0,4480
35,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,352037,2,支,0,352
36,K82600612,張氏糞便收集器,800個/箱,,1,個,0,-7
37,U00611003,病患識別帶，大人用,粉紅色,SY8049,1,個,0,1730
38,V02204118,手術刀片,#11   100支/盒,,2,支,0,1526
39,V04451006,壓舌板,10支/包，500包/箱,,7,包,0,397
40,V04702002,體溫速測儀專用膠套,500pc/box,PECG1000,1,個,0,3800
41,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),BC9585DL NO,29,件,0,19
42,Z25200010,外科綁帶手術口罩(第2等級),50個/盒,,11,盒,0,0
43,B03353000,宜拉膠帶,7.5cmx5M(3〞x5YD),,14,捲,0,6
44,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,93500,1,個,0,4
45,B00103106,紗布繃帶,3〞x10yd,,12,卷,0,27
46,B03352003,宜拉膠布,2〞x5YDS 6捲/盒,,14,捲,0,0
47,B05001051,自黏性膠帶 Coban-1〞,1〞 x 5yd,1581,14,捲,0,16
48,B13700205,檢診手套(非滅菌),100支/盒,M,11,盒,0,0
49,B13700308,檢診手套(非滅菌),100支/盒,L,11,盒,0,0
50,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,455036,2,支,0,660
51,C00211059,橡皮導尿管1wayNo10美規,50條/袋  2袋/箱,,4,條,0,59
52,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,CMP0400201,1,個,0,192
53,T02302016,咬口器 Bite-Block,大,G01001,1,個,0,20
54,Z24105417,隔離衣,,8023-30,29,件,0,-60
55,B13500754,無菌手套7.5Fr(無粉)-病房用,#7.5,1318,24,雙,0,449
56,C90510003,蛇型管,,CT-1100,100,mEq,0,100
57,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,"427,701,770",1,個,0,11
58,C08224652,氣管內管PVC,6.5#有Cuff,107-65,2,支,0,18
59,B00106107,紗布繃帶,15cmx9M(6〞x10YD),,12,卷,0,46
60,B00400609,自粘性彈紗,10CMx20M,,12,卷,0,0
61,B10238574,島型敷料  3582,5cmx7cm             ,3582,103,EA,0,0
62,Z25311145,眼鏡式護目鏡,,,1,個,0,174
63,U00100045,止血帶,50呎/捲1/8x1/32x50呎,,13,尺,0,150
64,A10123008,腰椎穿刺針-23G,23G*3+ 1/2in(約0.6mmx90mm滅菌),405240,2,支,0,72
65,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,S,11,盒,0,1361
66,B13500558,無粉乳膠手套,100支/盒﹑10盒/箱,M,11,盒,0,100
67,B13500619,無粉乳膠手套,100支/盒﹑10盒/箱,L,11,盒,0,8
68,J00610007,"塑膠尿套,男用","45cm,100個/包       ",,7,包,0,7
69,Z25132049,拋棄式護士帽,顏色配合醫院需求，100PC/包 10包/箱,,11,盒,0,29
70,Z25211869,N95口罩(第2等級)三瓣型,20個/盒,1870+,11,盒,0,0
71,Z26720137,鞋套:止滑18〞16〞14〞,14〞16〞18〞具止滑功能,,24,雙,0,1300
72,B00102109,紗布繃帶,2〞x10yd,,12,卷,0,14
73,V01100853,電極導電膠(未滅菌),250cc/瓶,ElectroMat 50,10,瓶,0,0
74,G80100027,PST生化管(真空無菌),受容量4ml採血量3ml,367960,2,支,0,20
75,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,,11,盒,0,0
76,C02100500,密閉式抽痰套 12FR,12-14FR,BCSS12﹑BCSS14,1,個,0,43
77,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,454221,2,支,0,249
78,T02130909,Oral Airway (Disposable),90mm，黃,2309,1,個,0,64
79,D00699402,4-0   尼龍線(不可吸收單股縫線-尼龍線),12mm*45cm(1條/包),1741-31,7,包,0,6
80,K83000312,適滴鄰苯二甲醛高層次測驗試紙,100支/瓶2瓶/盒,10-602,42,BT,0,1
81,C90330003,胸腔引流管,150cm 附接頭透明可擠壓 滅菌,S-27-030-A,4,條,0,58
