,料號
31,B00216005
36,B03251164
41,B04904105
44,B05569103
46,B07109004
47,B07202101
50,B08142448
57,B13331008
58,B13332005
61,B13500807
62,B13700102
63,B13700205
64,B13700308
84,D00669305
87,F10110303
88,F11010008
89,F20111009
92,G10705008
93,G80100001
94,G80501505
95,G80504051
96,G80506039
97,G81300012
103,J00202506
105,K80001908
106,K80003312
107,K80004028
109,K82430234
111,K82600612
112,M00030327
122,U00202050
123,U00611003
125,U90120001
130,V04451006
131,V04702002
135,Z24105417
136,Z24109584
139,B00215008
140,B03251310
141,B04820007
150,G80505008
151,G81100016
152,G81200207
154,B03353000
162,G80502057
163,G80503107
164,J00610007
167,V02102000
169,A02320205
170,B00104103
171,B05001051
178,U00100045
179,Z25311145
187,C13802013
190,Z25132049
191,Z25200010
194,B08143223
199,A00120221
200,C90510003
201,T04300024
214,B00102109
218,V03111008
223,Z24195837
224,Z26720137
227,J00400106
228,T02302032
229,B13700009
230,C02113096
231,C08313301
232,C08313404
233,C08313454
234,C08313507
237,T01998336
238,B05569068
239,F01321107
240,U90902601
241,B13500455
242,B05569026
244,C00130227
250,P21800002
251,V01100853
254,B00212015
259,B00302052
261,G80100027
264,C02513183
265,V00500012
269,B13500558
270,L03500108
273,C40361062
338,D00320301
437,A04411097
440,C11000037
441,A02120209
443,C13931431
445,C03613903
446,A04200038
453,A00421108
471,C13931457
