,料號
37,B03251310
38,B03353000
42,B04820007
43,B04904105
44,B05001051
47,B05569103
49,B07202101
53,B08143223
54,B08143334
60,B13332005
63,B13700102
93,F10110303
94,F11010008
95,F20111009
98,G80100001
99,G80501505
100,G80503107
101,G80504051
102,G80505008
103,G80506039
104,G81100016
105,G81200207
106,G81300012
112,J00202506
114,K80001908
115,K80003312
116,K80004028
120,K82600612
125,T01612040
130,U00202050
131,U00611003
135,V00500012
137,V04451006
138,V04702002
142,Z24109584
143,Z25200010
150,B13700205
156,C13802013
162,U00100045
178,B00212015
179,B00216005
194,C90510003
200,G80502057
201,J00610007
203,T02130806
207,B13500807
209,T04300024
210,Z25132049
214,U03064245
215,B05569068
218,A02120241
224,T02120705
229,V03111008
233,B00106107
234,B05569026
236,B00102109
237,B00103106
242,B13500455
243,B13500558
244,C00123254
245,Z26720137
253,B13000852
258,Z25132425
259,A12101052
260,A12101113
262,C08224808
263,C09133607
268,L03500108
269,Z25200060
271,G80100027
273,B00215008
279,M00030327
280,B13700009
281,V02204150
282,V01100853
401,J00202001
418,C02113107
434,C13911803
435,F05111008
439,A04200038
447,A02120225
457,C13931457
473,A00712003
476,C18100201
487,C40361165
