,料號,Chinese_Name,規格,型號,庫存單位代碼,庫存單位,常備量,庫存量
0,B03251164,紙膠布,1〞x10YD;附切台 120/S,1530-1,12,卷,0,243
1,B03251310,透氣帶膠,無切 3〞x5yd 25捲/盒,BP35,14,捲,0,8
2,B03353000,宜拉膠帶,7.5cmx5M(3〞x5YD),,14,捲,0,6
3,B04820007,3M醫療膠帶(未滅菌),1/2吋*10碼,1538-0,14,捲,0,38
4,B04904105,舒軟膠布,100mm*10M,EBR-10010,12,卷,0,24
5,B05001051,自黏性膠帶 Coban-1〞,1〞 x 5yd,1581,14,捲,0,16
6,B05569103,口腔棉棒 棉頭2.5cm直徑0.8cm,5支/包,,7,包,0,4500
7,B07202101,ENT棉棒,10支/包,,7,包,0,950
8,B08142448,紗布墊 10cmx10cmx8ply,2片/包,,7,包,0,186
9,B10216857,3M 導管固定防水透氣敷料-滅菌,8.5CMX11.5CM 50片/盒,1685,8,片,0,0
10,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,YN-66-SPS,2,支,0,500
11,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,,11,盒,0,3536
12,B13700102,有粉乳膠檢診手套,100支/盒,S,11,盒,0,0
13,B13700205,檢診手套(非滅菌),100支/盒,M,11,盒,0,0
14,C90510003,蛇型管,,CT-1100,100,mEq,0,100
15,F10110303,塑膠藥杯，30ML刻度,30cc 1.須有清楚刻度 ，杯口平滑   2.杯口寬減杯底寬度少於1cm(投標時請附5個樣品現場審查),,1,個,0,9300
16,F11010008,尿杯 Urine cup,120-200cc  白色,,1,個,0,1290
17,F20111009,塑膠彎盆,500-600cc,CY-P003,1,個,0,339
18,G10705008,消毒錠,2.5Gx100粒/瓶 6瓶/箱,BK-25,10,瓶,0,5
19,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,456089,2,支,0,144
20,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,454322,2,支,0,231
21,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,454221,2,支,0,249
22,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,367884,2,支,0,100
23,G80504051,紫頭CBC管(真空無菌),受容量5ml採血量2-3ml,367856,2,支,0,1220
24,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,455036,2,支,0,660
25,G81100016,厭氧攜送培養基,20支/包 100支/盒,CMP0400081,2,支,0,79
26,G81200207,嗜氧攜送培養基,,CMP0400051,2,支,0,125
27,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,CMP0400201,1,個,0,192
28,J00202506,尿液收集袋,(24小時使用) 3500CC,SY8020,1,個,0,26
29,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,SY9514+SY9515,2,支,0,738
30,K80003312,藍蓋螺旋尿管,10ml,FLA-2-10SCVT-100,2,支,0,135
31,K80004028,SST(Yellow)管,5ml 100EA/Bx,456073,2,支,0,4480
32,K82100027,Multi-S Luer Adapt(轉接頭),100ea/Bx,367290,1,個,0,173
33,K82100027,Multi-S Luer Adapt(轉接頭),2,,1,個,0,173
34,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,352037,2,支,0,352
35,K82600612,張氏糞便收集器,800個/箱,,1,個,0,-7
36,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,,7,包,0,7
37,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,,11,盒,0,0
38,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,93500,1,個,0,4
39,U00611003,病患識別帶，大人用,粉紅色,SY8049,1,個,0,1730
40,V02102000,塑膠剃刀 (雙面使用),,,2,支,0,132
41,V04702002,體溫速測儀專用膠套,500pc/box,PECG1000,1,個,0,3800
42,Z24105417,隔離衣,,8023-30,29,件,0,-60
43,Z25132049,拋棄式護士帽,顏色配合醫院需求，100PC/包 10包/箱,,11,盒,0,29
44,Z25200010,外科綁帶手術口罩(第2等級),50個/盒,,11,盒,0,0
