,料號
32,B03251164
33,B03251310
34,B03353000
38,B04820007
39,B04904105
40,B05001051
43,B05569103
46,B07202101
49,B08142448
54,B10216857
55,B13331008
56,B13332005
61,B13700102
62,B13700205
95,C90510003
96,D00055208
100,F01321107
102,F10110303
103,F11010008
104,F20111009
107,G10705008
108,G80100001
109,G80501505
110,G80502057
111,G80503107
112,G80504051
113,G80505008
114,G81100016
115,G81200207
116,G81300012
121,J00202506
123,K80001908
124,K80003312
125,K80004028
127,K82100027
128,K82430234
130,K82600612
131,L03500108
132,M00030327
151,U00202050
152,U00611003
157,V02102000
159,V04702002
163,Z24105417
164,Z25132049
165,Z25200010
169,B00215008
172,B08143223
174,C00211091
183,V00500012
184,Z25311145
186,C00120100
187,C13802021
191,B00104103
192,B00303102
194,C00411089
195,C00411108
197,C08224602
207,V02204100
209,A02322310
215,B08143334
221,J00610007
224,Z24109584
225,A00120221
228,C00123101
229,C00123127
232,T04300024
233,V04451006
235,D00569558
236,G80506039
238,Z26720137
240,B04150042
266,B13700308
267,C16110205
268,U90902601
269,B13500455
270,B13500619
271,C00123254
272,C13913601
274,A00420135
279,J00300505
283,C90573557
288,A10123008
290,C13931182
294,G80100027
298,T00000027
300,G81507009
303,B13700009
305,B13500558
308,B00216005
309,V01100853
313,L00500149
314,D16445125
344,A04411370
345,A04800036
390,D00320301
419,A00421108
472,F05111008
487,C00211083
489,C17200027
490,E45101130
504,A02120198
511,C02113149
516,A02120225
521,D00213208
533,R19269069
