,料號
20,B00216005
23,B03251164
27,B04820007
28,B04904105
29,B05001051
30,B05469023
32,B05569103
33,B05904451
35,B07202101
37,B08142337
38,B08142448
40,B08320206
41,B08340408
42,B13331008
43,B13332005
46,B13700009
47,B13700102
48,B13700205
69,D00669305
74,F10110303
75,F11010008
79,G80100001
80,G80501505
81,G80502057
82,G80503107
83,G80505008
84,G80506039
85,G81200207
89,J00202506
91,K80001908
92,K80004028
94,K82430234
96,K82600612
97,L03500108
98,P20900579
99,P21000579
107,U00611003
113,V03111008
114,V04451006
115,V04702002
116,Z24105417
117,Z25200010
118,Z25311145
119,Z26500008
122,D00055208
123,G10705008
124,G80504051
125,G81100016
126,G81300012
127,K80003312
130,V02102000
134,A00120102
143,T04300016
144,T04300024
147,B03352003
148,B03353000
150,C08224808
156,U00100045
157,X00100000
160,Z24195837
162,B06805000
164,Z25132049
166,B03251310
168,C19750325
171,M00030327
174,U00202050
175,V01100853
176,Z25211869
180,B13500455
181,B13500558
190,T02130806
192,A04300306
193,C00123246
196,J00610007
201,G80100027
210,B13500807
211,Z26720137
264,D00320301
307,A02120225
308,B00206057
312,U90120001
330,A02120233
345,T01101016
356,I00000060
