,料號,紀錄週數
0,B03110120,52
1,A04300023,52
2,A04200038,52
3,A04200020,52
4,A00120025,52
5,C03613006,52
6,C10220101,52
7,C13830005,52
8,C13930399,52
9,C13931219,52
10,A02320340,52
11,B03106859,52
12,G81500272,52
13,C02113123,52
14,J00202019,52
15,A02120180,52
16,A01130509,52
17,A00421190,52
18,T50412005,52
19,A00124417,52
20,A00120504,52
21,A00120213,52
22,A46441986,52
23,A00120102,52
24,U91700000,52
25,A00120059,52
26,A04411285,52
27,C00120168,51
28,B08143445,51
29,C00733218,51
30,B05569084,51
31,D00320301,51
32,F36005006,51
33,U90480016,51
34,A03295054,50
35,U00202042,50
36,V00400273,50
37,A00120017,49
38,C02723000,49
39,A02322259,49
40,A46445209,48
41,C02513167,47
42,T04220215,46
43,Y12876111,41
44,C14000004,41
45,F41200000,38
46,C08224755,35
47,T01101024,33
48,F01700003,31
49,T00030706,30
50,C02514164,30
51,T01910532,29
52,I00000060,27
53,T01300007,27
54,A02312182,26
55,A02120209,25
56,C02100500,25
57,B05904451,24
58,B03215340,23
59,A02320186,23
60,B00304056,23
61,C00120184,22
62,B13500704,22
63,C02911226,22
64,B13000709,21
65,T01612024,21
66,C18100251,21
67,V02204118,21
68,C00211067,20
69,A02318314,20
70,B04805109,20
71,J10907500,19
72,C02911200,19
73,F01321004,19
74,B13000656,18
75,C18100201,18
76,I16200040,18
77,T02130909,17
78,T01101016,17
79,B13000759,17
80,B10106197,16
81,F00230005,16
82,A02320160,15
83,C02813013,15
84,A00120110,15
85,C03613903,14
86,B00306050,14
87,K82430329,13
88,C00120142,13
89,B13500651,13
90,C00703153,13
