,Unnamed: 0,料號,紀錄週數,Chinese_Name,規格,型號,預測值
0,0,K80004044,52,Push Button Blood Collection,23G 50支/BX,367342,85
1,1,A00421190,52,胰島素安全注射筒附針-30G,30Gx0.5ccx 8mm,305934,30
2,2,B03106859,52,人工薄膜,2 3/8〞x 2 3/4〞,1624W,75
3,3,B03110120,52,人工薄膜,4〞x43/4〞,1626W,7
4,4,V00400273,52,潤滑凍膏 2.7-3GM(滅菌),2.7-3GM 滅菌,CD-LG-721,7
5,5,C13830005,52,IV注射帽,螺旋式,TYPE B,26
6,6,U91700000,52,丟棄式導尿包,滅菌,,13
7,7,C13941807,52,抽痰連接管,180cm 滅菌,S-27-010-A,6
8,8,F01321004,52,廢液收集器-開刀房區(有止溢閥),有止溢閥,CSB-200S3,10
9,9,C13930399,52,T型連接管,承接座(圓柱型)+輸液管(15CM)+針座(T型)+控制器(平夾式),E04,72
10,10,A02120180,52,塑膠注射針頭,18Gx1+1/2〞 100支/盒,4665120,366
11,11,A01130509,52,塑膠灌食空針,60-70cc,YJ-40,11
12,12,J00202019,52,勤達豪華型尿袋 (滅菌),2000ml,,12
13,13,A02322259,52,〞美迪克〞安全性靜脈留置針  22G,22GX25MM,SP120-22-25,77
14,14,F41200000,52,痰液收集器,14Fr  180個/箱,,3
15,15,A03295054,52,安全式注射筆專用針,30G × 5mm,329505,63
16,16,A04800036,52,靜脈輸液套，附Y加葯管,20gtt/ml 100個/箱,B02,21
17,17,I20100104,52,心電圖電極貼片,成人帶扣 30片/包,F-TC1,29
18,18,A00120213,52,20CC塑膠注射空針直插  (無螺紋),20mL， Eccentric Luer Slip type,MDSS20ES,252
19,19,A04411285,52,全拋式採血器,28G,05888662200,507
20,20,A00120102,52,10cc塑膠注射空針 有螺紋,10ml 22G*1-1/2〞  luer lock,MDSS10L2238,3
21,21,C02113123,52,抽痰管，內含手控接頭,12Fr 100條/袋6袋/箱,BSU12,901
22,22,G81500272,52,血糖試紙,,05942861,499
23,23,C00120168,52,二叉留置導尿管16FR,16FR,YJ-57,9
24,24,A02320340,52,〞美迪克〞安全性靜脈留置針  20G,20GX31MM,SP120-20-31,33
25,25,C02514164,51,矽質胃管  16FR,16FR,ST-0016,4
26,26,C00211075,51,橡皮導尿管1wayNo14美規,100條/袋  2袋/箱,,4
27,27,A00124417,51,血氣分析專用採血器 3 cc,3ml(100pcs/KIT),364378,3
28,28,A00120504,51,50cc塑膠注射空針-非螺紋,50支/盒 ，無螺紋200支/箱,,8
29,29,A04300023,51,急速輸血套附Y型管,Y型,A14,9
30,30,T04220215,50,微量噴霧器,,PN-1118A,3
31,31,A00120110,49,10cc塑膠注射空針 無螺紋,10ml 22G*1-1/2〞 luer slip,MDSS10S2238,46
32,32,C02723000,49,氧氣鼻管 O2雙管 2-Way,200條/箱   100/S,OX-2,4
33,33,T01101024,48,噴霧氧氣口罩，Aerosol Mask,成人,OX-5-1,3
34,34,A00120025,48,2.5-3cc PVC 注射空針,有螺紋2.5-3cc，23-24Gx1〞-1+1/4〞,,109
35,35,A04200020,48,精密控制輸液套附免針加藥座,附免針加藥座120cc硬bag,F08,45
36,36,C14000004,47,輸液延長管,600付/箱,A130,7
37,37,A46441986,47,幫浦輸液套(一般型),,M46441980AP,4
38,38,A00120059,46,5cc塑膠注射空針,有螺紋5cc，23Gx1+1/4〞,,15
39,39,B08143445,46,紗布墊 4〞X4〞X8Ply,4〞X4〞X8Ply，10片/包,,6
40,40,F36005006,44,單一無菌引流袋 500cc,單向逆流,M08001,3
41,41,A04411370,43,胰島素筆型注射器針頭32G x 4mm,32G x 4mm,320472,18
42,42,C00120184,42,二叉留置導尿管18FR,18FR,YJ-57,5
43,43,T01300007,42,多重濃度氧氣口罩,,4088,2
44,44,C02513167,41,鼻胃管16Fr  可顯影125cm,30條/包 ，4包/箱,,2
45,45,F01700003,41,真空吸引瓶,500cc         20/S,,4
46,46,B05569084,40,沖洗棉棒 棉頭3.8cm直徑2.4cm,8支/包 300包/箱,,3
47,47,A02312182,40,〞美迪克〞安全性靜脈留置針  24G,24GX19MM,SP120-24-19,6
48,48,A02320186,39,靜脈留置針-18G,18GA*1  3/4〞,4251334,3
49,49,U90480016,38,中央靜脈導管包布,20包/箱,BC8001E,3
50,50,D00320301,38,3-0 尼龍線  Nylon,26mm x 75cm,NC263L,3
51,51,C00733004,38,3 Lumen  輸液導管組,7Fr x 30cm  無菌,CS-24703-E,3
52,52,C00123169,36,二叉矽質導尿管-16Fr,16FR 5CC,76SF,3
53,53,T01612024,35,不再吸入口罩,,OM-81212,5
54,54,A00120067,34,5cc 塑膠注射空針,無螺旋5cc，23Gx1+1/4〞,,12
55,55,C02911226,33,灌腸管,22FR,YJ-78,2
56,56,A00120033,32,2.5-3cc PVC 注射空針,無螺紋2.5-3cc，23-24Gx1〞-1+1/4〞,,269
57,57,A46445209,30,幫浦輸液套 (含加藥筒),,M46445200SAP,7
58,58,C00211067,28,橡皮導尿管1wayNo12美規,100條/袋  2袋/箱,,3
59,59,B00304056,27,彈性紗捲,10cmx4.6M(4〞x5yd),,5
60,60,A00421174,27,BD滑蓋式胰島素安全注射筒附針,29Gx1ccx13mm,305930,1
61,61,A02320160,24,靜脈留置針-16G,16Gx1.77〞INSYTE,381257,2
62,62,T01101016,23,氧氣口罩成人含接管,,OX-3,4
63,63,C00120203,23,二叉留置導尿管20FR,20FR,YJ-57,3
64,64,C02514180,23,矽質胃管  18FR,18FR,ST-0018,2
65,65,U00202042,22,塑膠三路考克 3Way附Luer Lock,R-Type,4095120,4
66,66,B00306050,20,彈性紗捲,15cmx4.6M(6〞x5yd),,9
67,67,F00230005,18,胸腔引流瓶,disposable 1800c.c,H03182,5
68,68,B04805109,18,豬尾巴導管組專用貼布(use for5~12F),,BT-CS-0512T,2
69,69,B13500704,17,無菌手套7.0Fr(無粉)-病房用,#7.0,1318,4
70,70,C00123185,16,二叉矽質導尿管-18Fr,18FR 5CC,76SF,3
71,71,C02113149,15,抽痰管，內含手控接頭,14Fr100條/袋  6袋/箱,BSU14,2
72,72,C00041613,15,連接管,15公分,BT-S15L,3
73,73,J10907500,15,〞康諾〞引流袋 (滅菌),2000c.c,DB2000,1
74,74,C02911242,15,灌腸管,24FR,YJ-78,2
75,75,C02813013,14,〞亞康恩〞 導入/引流導管及其附件 (滅菌),6FR~12FR ; 20cm﹑25cm﹑30cm,756506020;756506025;756507020;756507025;756508020;756508025;756510020;756510025;756512020;756512025;756508030;756510030,1
76,76,Y12876111,14,康威 多愛膚親水性敷料(人工皮),10X10cm:9.5X9.7cm,187660,2
77,77,A03010041,13,PORT-A安全彎針附蝴蝶翼輸液套組22Gx0.75〞,22Gx0.75〞,LH0029,3
78,78,C00120142,13,二叉留置導尿管14FR,14FR,YJ-57,3
